text,raw_label,label,source,is_synthetic
нужна помощь в замене чего-либо при покупке YW1RPD7M,order_status,order_status,ikshana,False
"Мне нужно поговорить со службой поддержки, могу ли я получить помощь?",general_info,general_info,ikshana,False
Мне нужна помощь с проверкой часов работы твоего чертового магазина.,general_info,general_info,bitext,False
"приложение не работает на моем устройстве, как мне повторить проблему?",technical_issue,technical_issue,bitext,False
"мне нужно отменить пункт, где мне это сделать",order_status,order_status,bitext,False
"waqnna, отправь чертов отзыв, можешь мне помочь?",other,other,bitext,False
"хочу знать о продуктах, могу найти некоторую информацию",product_info,product_info,bitext,False
"PDA отправляет почту на компаст, что их сервис отстой.",general_info,general_info,runlu,False
"Я хотел бы увидеть наличие товара в Интернете, вы мне поможете?",product_info,product_info,bitext,False
информация о следующих распродажах,promo_loyalty,promo_loyalty,bitext,False
Я хотел бы узнать больше о чертовых зимних распродажах. Не могли бы вы дать мне некоторую информацию?,promo_loyalty,promo_loyalty,bitext,False
"мне нужно изменить мой чертов заказ на omline, прежде чем использовать его, могу ли я получить некоторую помощь",order_status,order_status,bitext,False
можно ли использовать твое чертово мобильное приложение?,technical_issue,technical_issue,bitext,False
мне нужна помощь с проверкой наличия этого чертового товара,product_info,product_info,bitext,False
мне нужна помощь в отмене покупки DV6LZG49,order_status,order_status,ikshana,False
"Я хотел бы узнать больше о распродажах, дайте мне некоторую информацию",promo_loyalty,promo_loyalty,bitext,False
нужно отписаться от вашей рассылки,account,account,ikshana,False
"Обменный курс, который я получу с иностранной валютой",payment_refund,payment_refund,runlu,False
как я могу найти информацию о очередных распродажах,promo_loyalty,promo_loyalty,bitext,False
"Я бы хотел сделать чертов платеж, где мне это сделать?",payment_refund,payment_refund,bitext,False
"Я хочу повторить проблему с продуктом, как это сделать?",product_info,product_info,bitext,False
помогите исправить порядок V9YH4Y3K,order_status,order_status,ikshana,False
"я не помню свой пароль, помогите мне его сбросить",account,account,bitext,False
"нужно использовать ваше мобильное приложение, где я могу это сделать",technical_issue,technical_issue,bitext,False
"Я ищу информацию о чертовой распродаже, где ее найти?",promo_loyalty,promo_loyalty,bitext,False
"Мне нужно отправить товар обратно, могу ли я получить помощь?",return_exchange,return_exchange,bitext,False
"я ищу информацию о следующих распродажах, как я могу ее получить",promo_loyalty,promo_loyalty,bitext,False
мог бы рассказать мне больше о вашей политике возврата денег,payment_refund,payment_refund,bitext,False
"что мне нужно сделать, чтобы восстановить пин-код моей учетной записи пользователя",account,account,ikshana,False
Я хотел бы сообщить о проблемах с доставкой моего груза. Вы мне поможете?,delivery,delivery,bitext,False
"Я хотел бы использовать ваше мобильное приложение, как мне это сделать?",technical_issue,technical_issue,bitext,False
"мне нужно увидеть время доставки, как я могу это сделать",delivery,delivery,bitext,False
"я купил чертов товар, но он мне не нужен, могу ли я отменить заказ",order_status,order_status,bitext,False
изменение данных на платиновом аккаунте,account,account,ikshana,False
"Веб-сайт не работает, я хотел бы сообщить о проблеме",technical_issue,technical_issue,bitext,False
"Мне нужно связаться со службой поддержки клиентов, вы можете мне помочь?",general_info,general_info,bitext,False
"Мне нужна помощь, чтобы добавить чертов товар в корзину.",product_info,product_info,bitext,False
"Я заказал товар, отмените покупку 01JJ7N7T",order_status,order_status,ikshana,False
я пытаюсь найти информацию о чертовых распродажах,promo_loyalty,promo_loyalty,bitext,False
"мне нужна информация о распродажах, как я могу ее получить",promo_loyalty,promo_loyalty,bitext,False
"Мне нужно сделать чертов платеж, где я могу это сделать?",payment_refund,payment_refund,bitext,False
"мне нужно увидеть стоимость пересылки, как мне это сделать",delivery,delivery,bitext,False
"продукт, который я заказал, работает неправильно, могу ли я сообщить о проблеме с продуктом",product_info,product_info,bitext,False
"Мне нужно поговорить с чертовым человеком-агентом, где я могу это сделать?",other,other,bitext,False
"веб-сайт не работает на моем компьютере, помогите мне сообщить о проблеме",technical_issue,technical_issue,bitext,False
"Я ищу информацию о чертовых весенних распродажах, мне нужна помощь.",promo_loyalty,promo_loyalty,bitext,False
"некоторые товары повреждены, сообщите об этом",return_exchange,return_exchange,bitext,False
"мне нужно удалить чертову вещь из корзины, ты мне поможешь?",product_info,product_info,bitext,False
"Я не использую свою Премиум-аккаунт, мне нужна помощь в ее удалении",account,account,ikshana,False
Мне нужно проверить процесс возврата средств. Могу ли я получить помощь?,payment_refund,payment_refund,bitext,False
"Я хотел бы позвонить в службу поддержки клиентов, как я могу это сделать?",general_info,general_info,ikshana,False
не могли бы вы дать мне информацию о продажах,promo_loyalty,promo_loyalty,bitext,False
"Я хотел бы открыть счет, где я могу это сделать?",account,account,bitext,False
"У меня есть чертов комментарий о вашем бренде, как я могу его отправить?",other,other,bitext,False
"можно ли узнать, когда придет моя посылка?",delivery,delivery,ikshana,False
"Мне нужно связаться со службой поддержки, мне нужна помощь",general_info,general_info,ikshana,False
"Ищу информацию о чертовых весенних распродажах, где ее взять",promo_loyalty,promo_loyalty,bitext,False
Можете ли вы помочь мне решить проблему с оплатой?,payment_refund,payment_refund,ikshana,False
"Я хотел бы оставить комментарий о вашем бренде, помогите мне.",other,other,bitext,False
"Я бы хотел использовать твое чертово мобильное приложение, оно бы мне помогло.",technical_issue,technical_issue,bitext,False
"Я хочу узнать о продукте, как я могу получить дополнительную информацию?",product_info,product_info,bitext,False
Где мой заказ 144451?,order_status,order_status,synthetic_dataset,True
мне нужно уведомлять об ошибках при регистрации,account,account,ikshana,False
"Какова цена акций ""Сенсекса"" сейчас?",product_info,product_info,runlu,False
"я не знаю, что мне нужно сделать, чтобы купить товар",order_status,order_status,ikshana,False
Мне нужно сообщить о проблемах с доставкой моего груза. Где я могу это сделать?,delivery,delivery,bitext,False
я по ошибке ввел неправильный адрес,delivery,delivery,ikshana,False
Во сколько прибывает поезд?,delivery,delivery,runlu,False
Проверь почту за последние 12 часов,general_info,general_info,runlu,False
"мне нужно посмотреть, как скоро я смогу ожидать доставки",delivery,delivery,ikshana,False
"я не знаю, что делать, чтобы перейти на платиновый аккаунт",account,account,ikshana,False
"Мне нужна помощь, чтобы позвонить в чертову службу поддержки клиентов.",general_info,general_info,bitext,False
"мне нужна помощь, чтобы запросить гребаный возврат средств",return_exchange,return_exchange,bitext,False
"Привет, у меня есть новые письма.",general_info,general_info,runlu,False
"можно ли вернуть некоторые товары, которые были по акции",return_exchange,return_exchange,bitext,False
Я ищу информацию о чертовых распродажах. Не могли бы вы мне помочь?,promo_loyalty,promo_loyalty,bitext,False
"нужно сообщить о технической проблеме, приложение поможет мне",technical_issue,technical_issue,bitext,False
"Покажи мне, как поехать в Бостон через Сиэтл.",delivery,delivery,runlu,False
"мне нужна помощь, чтобы отменить покупку FR0KMCOJ",order_status,order_status,ikshana,False
"мобильное приложение не работает на моем устройстве, мне нужна помощь, чтобы сообщить о проблеме",technical_issue,technical_issue,bitext,False
Режим работы магазина,general_info,general_info,synthetic_dataset,True
"Ищу информацию о очередных распродажах, мне нужна помощь",promo_loyalty,promo_loyalty,bitext,False
Мне нужна помощь с открытием премиум-аккаунта,account,account,ikshana,False
Отследить заказ 296884,order_status,order_status,synthetic_dataset,True
Можете ли вы помочь мне увидеть плату за отмену?,order_status,order_status,ikshana,False
Где ДЕЛЛ сейчас стоит на фондовом рынке?,product_info,product_info,runlu,False
"Я не знаю, как мне сбросить ключ доступа",account,account,ikshana,False
"мне нужно добавить товары в корзину, помогите мне",product_info,product_info,bitext,False
"хочу заплатить, можешь мне помочь",payment_refund,payment_refund,bitext,False
"Мне нравится информация о распродажах, как я могу ее найти",promo_loyalty,promo_loyalty,bitext,False
"что мне нужно сделать, чтобы отменить покупку 0661Z77G?",order_status,order_status,ikshana,False
"у меня ошибка в моей гребаной учетной записи, ты поможешь мне ее изменить?",account,account,bitext,False
Есть ли способ оставить отзыв о вашей компании?,product_info,product_info,ikshana,False
"Я не знаю, как мне восстановить ключ доступа к моему профилю.",account,account,ikshana,False
"моя посылка неполная, можете ли вы помочь мне сообщить о неполной доставке?",delivery,delivery,bitext,False
"Мне нужно воспользоваться твоим чертовым мобильным приложением, где я могу это сделать?",technical_issue,technical_issue,bitext,False
"некоторые продукты неправильные, можете ли вы помочь мне сообщить о них?",return_exchange,return_exchange,bitext,False
"моя посылка была отправлена ​​не на тот адрес, я должен сообщить о чертовых проблемах с доставкой",delivery,delivery,bitext,False
Можно ли доставить сегодня?,delivery,delivery,synthetic_dataset,True
"Мне нужно поговорить с чертовым человеком, где мне это сделать?",other,other,bitext,False
"Товар, который я получил, был раздавлен. Не могли бы вы помочь мне сообщить об этом?",return_exchange,return_exchange,bitext,False
У меня возникла проблема с попыткой исправить мой адрес,delivery,delivery,ikshana,False
"Я хотел бы использовать ваше приложение, могу ли я получить помощь?",technical_issue,technical_issue,bitext,False
"Я ищу информацию о следующих распродажах, как мне ее найти?",promo_loyalty,promo_loyalty,bitext,False
"Я хотел бы использовать ваше приложение, где мне это сделать?",technical_issue,technical_issue,bitext,False
"Я хочу вернуть товар онлайн, где я могу это сделать?",return_exchange,return_exchange,bitext,False
"Мне нужно удалить чертовы товары из корзины, могу ли я получить помощь?",product_info,product_info,bitext,False
"Мне нужна компенсация, как я могу ее получить?",return_exchange,return_exchange,bitext,False
Подойдёт ли мне размер M?,product_info,product_info,synthetic_dataset,True
"я не знаю, как мне исправить адрес доставки",delivery,delivery,ikshana,False
я не могу добавить некоторые чертовы продукты для покупки MJUF2I2H,order_status,order_status,ikshana,False
"Мне нужно воспользоваться твоим чертовым мобильным приложением, как я могу это сделать?",technical_issue,technical_issue,bitext,False
"Я хотел бы обменять товар в магазине, могу ли я получить помощь?",return_exchange,return_exchange,bitext,False
"Я бы хотел отменить чертов онлайн-заказ, ты мне поможешь?",order_status,order_status,bitext,False
Сколько песо я могу получить за доллар прямо сейчас?,payment_refund,payment_refund,runlu,False
Я хотел бы получить информацию о получении ключа доступа,account,account,ikshana,False
"помогите мне узнать, в какие часы я могу позвонить в службу поддержки клиентов",general_info,general_info,ikshana,False
"Мне нужно получить ваш корпоративный информационный бюллетень, мне нужна помощь",account,account,ikshana,False
можешь ли ты дать мне информацию о продажах,promo_loyalty,promo_loyalty,bitext,False
"Я запросил обмен, но не получил его. Можете ли вы помочь мне отследить статус моего замененного товара?",order_status,order_status,bitext,False
Как далеко отсюда Уолмарт?,delivery,delivery,runlu,False
я должен подать иск против твоего бизнеса,other,other,ikshana,False
"помощь в проверке, ох скоро могу ли я ожидать товар",delivery,delivery,ikshana,False
"как я могу проверить, какие способы оплаты разрешены?",payment_refund,payment_refund,ikshana,False
можно ли заказать из Дели?,delivery,delivery,ikshana,False
"см. статус покупки LYWI6XYR, черт возьми",order_status,order_status,ikshana,False
"этот сайт не работает на моем Mac, помогите мне сообщить о проблеме",technical_issue,technical_issue,bitext,False
"я не могу сделать перевод, как сообщить о чертовых проблемах с оплатой",payment_refund,payment_refund,bitext,False
Мне нужно обменять чертов товар в магазине.,return_exchange,return_exchange,bitext,False
мне нужна помощь в извлечении чертовых товаров из корзины,product_info,product_info,bitext,False
"Мне нужно добавить чертовы товары в корзину, могу ли я получить помощь?",product_info,product_info,bitext,False
получать счета от Джона,payment_refund,payment_refund,ikshana,False
"мне нужна помощь, чтобы проверить, какие у меня есть способы доставки",delivery,delivery,ikshana,False
"Мне нужно посмотреть, какие способы доставки вы предлагаете, как это сделать?",delivery,delivery,ikshana,False
"мне не нужен мой чертов профиль, мне нужна помощь, чтобы удалить его",account,account,bitext,False
"Мне нужно обновить свою чертову учетную запись, как это сделать?",account,account,bitext,False
могу ли я увидеть чертов статус моего возврата?,payment_refund,payment_refund,bitext,False
"Я хотел бы найти чертовы магазины в моем районе, как это сделать?",general_info,general_info,bitext,False
"Мне нужна помощь, чтобы позвонить в службу поддержки клиентов",general_info,general_info,ikshana,False
Промокод SALE2026 не активируется,promo_loyalty,promo_loyalty,synthetic_dataset,True
"Я бы хотел проверить, где моя чертова посылка, как это сделать",order_status,order_status,bitext,False
как искать магазин,general_info,general_info,bitext,False
:: найти обменный курс для нас к фунту,payment_refund,payment_refund,runlu,False
Сколько стоит билет на поезд до Денвера отсюда?,delivery,delivery,runlu,False
"мне нужно использовать платиновый профиль, могу ли я получить помощь?",account,account,ikshana,False
"Мне нужна помощь, чтобы узнать, где моя чертова доставка.",order_status,order_status,bitext,False
"я не знаю, как отменить покупку K2ZISU5R",order_status,order_status,ikshana,False
"Мне нужно подтвердить наличие товара онлайн, можете ли вы мне помочь?",product_info,product_info,bitext,False
Есть ли в наличии наушники Sony?,product_info,product_info,synthetic_dataset,True
"Мне бы хотелось найти чертовы магазины поблизости, мне нужна помощь",general_info,general_info,bitext,False
Я бы хотел вернуть чертов товар онлайн,return_exchange,return_exchange,bitext,False
"сайт не работает на моем мобильном телефоне, как сообщить об ошибке",technical_issue,technical_issue,bitext,False
обновить информацию на счете Platinum,account,account,ikshana,False
"мобильное приложение не работает, мне нужна помощь, чтобы сообщить об этой чертовой проблеме",technical_issue,technical_issue,bitext,False
"Я не знаю, что сделать, чтобы оставить мнение",product_info,product_info,ikshana,False
"Мне нужна информация о ближайших распродажах, как мне ее найти?",promo_loyalty,promo_loyalty,bitext,False
"Мне нужно отправить чертов отзыв о продукте, могу ли я получить помощь?",other,other,bitext,False
где мне обменять эту чертову вещь,return_exchange,return_exchange,bitext,False
Я хочу знать о вашем процессе возврата,return_exchange,return_exchange,bitext,False
информация об аннулировании моего Премиум-аккаунта,account,account,ikshana,False
некоторые предметы сломаны. Можете ли вы помочь мне сообщить о них?,return_exchange,return_exchange,bitext,False
"Мне нужно посмотреть, сколько времени потребуется, чтобы прибыть посылка.",delivery,delivery,ikshana,False
Мне нужна помощь в отправке адреса доставки,delivery,delivery,ikshana,False
Где горы Рокки?,general_info,general_info,runlu,False
"Я хочу оплатить картой, как мне это сделать?",payment_refund,payment_refund,bitext,False
"мне нужна помощь, чтобы поговорить с агентом-человеком",other,other,ikshana,False
мобильное приложение не работает на моем компьютере. Не могли бы вы помочь мне сообщить о проблеме?,technical_issue,technical_issue,bitext,False
Мне нужно проверить процесс возврата средств. Как мне это сделать?,payment_refund,payment_refund,bitext,False
Я ищу информацию о чертовой распродаже. Могу ли я получить помощь?,promo_loyalty,promo_loyalty,bitext,False
"мой профиль взломали, мне нужна помощь в сбросе пароля",account,account,bitext,False
приложение не работает на моем планшете. Не могли бы вы помочь мне сообщить об ошибке?,technical_issue,technical_issue,bitext,False
"Я совершил покупку и не получил счет-фактуру, не могли бы вы его получить?",payment_refund,payment_refund,bitext,False
где cvan я могу оставить отзыв,other,other,bitext,False
"Я хочу найти магазины рядом со мной, помогите мне",general_info,general_info,bitext,False
Какой статус заказа 144451?,order_status,order_status,synthetic_dataset,True
"Я не знаю, что мне нужно сделать, чтобы сбросить мою учетную запись пользователя ppwd",account,account,ikshana,False
"Мне нужна информация о часах работы вашего магазина, где я могу ее найти?",general_info,general_info,bitext,False
есть ли у вас раздел для отправки отзывов об услуге?,product_info,product_info,ikshana,False
Я хотел бы сообщить о дефектах заказанного товара. Можете ли вы мне помочь?,product_info,product_info,bitext,False
"Я хочу воспользоваться твоим чертовым мобильным приложением, где мне это сделать?",technical_issue,technical_issue,bitext,False
"Я хочу воспользоваться твоим чертовым мобильным приложением, помоги мне.",technical_issue,technical_issue,bitext,False
"Я хотел представить чертовы идеи, где мне это сделать?",other,other,bitext,False
"Знаю ли я больше о чертовых зимних распродажах, можешь ли ты найти какую-нибудь информацию?",promo_loyalty,promo_loyalty,bitext,False
могу я позвонить в чертову службу поддержки клиентов,general_info,general_info,bitext,False
"Мне нужно найти магазины в моем районе, вы можете мне помочь?",general_info,general_info,bitext,False
"мне нужно проверить статус замены, помогите мне",order_status,order_status,bitext,False
показать значение гуга для носка,product_info,product_info,runlu,False
"Я ищу информацию о весенних распродажах, не могли бы вы мне помочь?",promo_loyalty,promo_loyalty,bitext,False
"Я хотел бы закрыть свою учетную запись, могу ли я получить помощь?",account,account,bitext,False
мне нужно найти покупку PN2MEFQY помогите мне,order_status,order_status,ikshana,False
удалить товар из корзины,product_info,product_info,bitext,False
"мотыга, могу ли я проверить штрафы за снятие средств",order_status,order_status,ikshana,False
"Я хотел бы найти магазины рядом со мной, вы мне поможете?",general_info,general_info,bitext,False
"мой аккаунт украли, помогите мне восстановить пароль",account,account,bitext,False
где заказать статью?,order_status,order_status,ikshana,False
Когда вернут деньги?,payment_refund,payment_refund,synthetic_dataset,True
"Я хочу вернуть купленный товар, что мне делать?",return_exchange,return_exchange,bitext,False
мне нужна помощь в решении чертовой проблемы с оплатой,payment_refund,payment_refund,ikshana,False
"Мне нужно просмотреть мою чертову историю заказов, можешь мне помочь?",account,account,bitext,False
"Я хочу зарегистрироваться, мне нужна помощь",account,account,bitext,False
"Пожалуйста, дайте мне направление в парк рядом со мной.",delivery,delivery,runlu,False
Можете ли вы помочь мне проверить вашу политику возврата?,return_exchange,return_exchange,bitext,False
"Я хотел бы узнать о часах работы вашего чертового магазина, как мне получить дополнительную информацию?",general_info,general_info,bitext,False
Я ищу информацию о весенних распродажах.,promo_loyalty,promo_loyalty,bitext,False
"мне нужно изменить мой гребаный онлайн-заказ, прежде чем отправлять его, не могли бы вы мне помочь?",order_status,order_status,bitext,False
"я не могу заставить сайт работать на своем планшете, мне нужно сообщить об ошибке",technical_issue,technical_issue,bitext,False
"мобильное приложение не работает на моем устройстве, мне нужна помощь, чтобы сообщить об ошибке",technical_issue,technical_issue,bitext,False
Сколько стоит доллар США против рупии?,payment_refund,payment_refund,runlu,False
"Я хотел бы узнать больше о весенних распродажах, найду некоторую информацию.",promo_loyalty,promo_loyalty,bitext,False
как перейти на золотой счет?,account,account,ikshana,False
"Мне нужно отправить чертов отзыв о вашем бренде, вы можете мне помочь?",other,other,bitext,False
"Я хочу проверить, какие варианты доставки есть",delivery,delivery,ikshana,False
статус заказа 41T2OL87,order_status,order_status,ikshana,False
"мне нужна помощь, чтобы перейти на платиновый аккаунт",account,account,ikshana,False
"Я не знаю, как мне поговорить со службой поддержки клиентов",general_info,general_info,ikshana,False
Мне нужно изменить данные моего аккаунта. Не могли бы вы мне помочь?,account,account,bitext,False
"хочу отправить электронное письмо в службу поддержки клиентов, как мне это сделать?",general_info,general_info,bitext,False
"Я забыл ключ своего профиля, помогите мне его восстановить.",account,account,ikshana,False
"Я хотел бы удалить офигенные товары из корзины, где это сделать?",product_info,product_info,bitext,False
Я хочу подать иск против вашего бизнеса,other,other,ikshana,False
информация о часах работы нашего магазина,general_info,general_info,bitext,False
"Я хочу проверить вашу политику возмещения, вы мне поможете?",payment_refund,payment_refund,bitext,False
как обменять товар в магазине?,return_exchange,return_exchange,bitext,False
Я бы хотел использовать ваше мобильное приложение,technical_issue,technical_issue,bitext,False
Не могли бы вы дать мне информацию о зимних распродажах?,promo_loyalty,promo_loyalty,bitext,False
"Мне нужно было произвести оплату, как я могу это сделать?",payment_refund,payment_refund,bitext,False
"Я хотел бы проверить время доставки моего заказа, помогите мне",delivery,delivery,bitext,False
"Я не получил подтверждение платежа. Мне нужна помощь, чтобы сообщить о проблеме с оплатой.",payment_refund,payment_refund,bitext,False
Где мой заказ 511865?,order_status,order_status,synthetic_dataset,True
Ответ на электронную почту,general_info,general_info,runlu,False
"кто-то взломал мой пароль, можно ли его восстановить?",account,account,bitext,False
Я хочу подписаться на рассылку новостей вашей компании,account,account,ikshana,False
"мне нужно оставлять чертовы комментарии о продукте, как я могу это сделать",other,other,bitext,False
"нужна помощь, сообщите об ошибке при регистрации",account,account,ikshana,False
открыть счет в Титаниуме,account,account,ikshana,False
Я больше не могу оплатить покупку VUZVUJ46,order_status,order_status,ikshana,False
Я ищу информацию о чертовых весенних распродажах. Не могли бы вы мне помочь?,promo_loyalty,promo_loyalty,bitext,False
"Мне нужна моя чертова история покупок, где я могу ее посмотреть?",account,account,bitext,False
как я могу оставить комментарий о товаре?,other,other,bitext,False
"мне нужно вернуть товары онлайн, могу ли я получить помощь",return_exchange,return_exchange,bitext,False
"PDA, География, пожалуйста?",general_info,general_info,runlu,False
"что мне нужно сделать, чтобы увидеть текущий статус компенсации?",payment_refund,payment_refund,ikshana,False
"У меня проблема с оплатой дебетовой картой, могу ли я сообщить об этом?",payment_refund,payment_refund,bitext,False
"Я хотел бы узнать о наличии товаров в магазине, не могли бы вы мне помочь?",product_info,product_info,bitext,False
"Мне нужно подать чертову жалобу на вашу компанию, помогите мне.",other,other,bitext,False
"мне нужна информация о статусе моего обмена, как я могу ее найти",order_status,order_status,bitext,False
Ошибка 500 на странице,technical_issue,technical_issue,synthetic_dataset,True
"Я хотел бы узнать больше о чертовых продажах psring, дай мне немного информации",promo_loyalty,promo_loyalty,bitext,False
"Я хотел бы узнать больше о чертовых зимних распродажах, можете ли вы дать мне некоторую информацию?",promo_loyalty,promo_loyalty,bitext,False
"Я хочу узнать больше о вашей чертовой гарантии возврата денег, можете ли вы найти какую-нибудь информацию?",payment_refund,payment_refund,bitext,False
"мне нужно проверить, в каких случаях я могу запросить возврат средств",payment_refund,payment_refund,ikshana,False
мне нужна помощь в обмене купленных мной товаров,return_exchange,return_exchange,bitext,False
Работаете ли в выходные?,general_info,general_info,synthetic_dataset,True
"Я хотел бы знать о чертовых магазинах поблизости, я дам мне некоторую информацию",general_info,general_info,bitext,False
"хочу удалить чертовы вещи из корзины, мне нужна помощь",product_info,product_info,bitext,False
"Я хотел бы знать маршрут, по которому поезд отправится в Майами.",delivery,delivery,runlu,False
"моего пользователя украли, могу ли я восстановить свой чертов пароль?",account,account,bitext,False
"Мне нужна информация о чертовых распродажах, где я могу ее найти?",promo_loyalty,promo_loyalty,bitext,False
"сайт не работает на моем компьютере, я хотел бы сообщить о проблеме",technical_issue,technical_issue,bitext,False
"Мне нужно удалить учетную запись mjy, где я могу это сделать?",account,account,bitext,False
"Я хочу добавить чертовы галстуки в корзину, ты мне поможешь?",product_info,product_info,bitext,False
обновить премиум-аккаунт,account,account,ikshana,False
изменить заказ CFF1C9T2,order_status,order_status,ikshana,False
Доставляете ли в Казань?,delivery,delivery,synthetic_dataset,True
"кто-то украл мой профиль, сбрось пароль",account,account,bitext,False
"Мне нужно найти что-то, что я купил. Как просмотреть историю заказов?",account,account,bitext,False
Могу ли я ввести свой дополнительный адрес доставки?,delivery,delivery,ikshana,False
"Я нашел товар, но выбрал неправильный размер, мне нужно обновить свой онлайн-заказ",order_status,order_status,bitext,False
"У меня есть чертов комментарий о твоем бренде, я бы хотел его отправить.",other,other,bitext,False
