doc_id,chunk_id,title,text
faq_delivery,faq_delivery_chunk_13,Экспресс-доставка по Москве,### Экспресс-доставка по Москве - 800₽ Также доставка может быть бесплатной при достижении минимальной суммы заказа: - от 5000₽ для Москвы и Санкт-Петербурга - от 7000₽ для регионов - от 10000₽ для Почты России ---
faq_delivery,faq_delivery_chunk_14,Доставляете ли вы в регионы?,"## Доставляете ли вы в регионы? Да, мы доставляем по всей территории Российской Федерации. Также доставка доступна в: - Республику Беларусь - Республику Казахстан ---"
faq_delivery,faq_delivery_chunk_15,Как отследить доставку?,## Как отследить доставку? После отправки заказа вы получите: - SMS с трек-номером - Email с трек-номером - Уведомление в личном кабинете Отследить посылку можно: - на сайте транспортной компании - в разделе «Мои заказы» ---
faq_delivery,faq_delivery_chunk_16,Можно ли изменить адрес доставки?,"## Можно ли изменить адрес доставки? Да, адрес доставки можно изменить: - до момента отправки заказа со склада - через личный кабинет в разделе «Мои заказы» - через службу поддержки После отправки заказа изменение возможно только через транспортную компанию. В некоторых случаях может потребоваться доплата. ---"
faq_delivery,faq_delivery_chunk_17,Что проверять при получении заказа?,"## Что проверять при получении заказа? При получении заказа рекомендуется: - проверить комплектность - проверить целостность упаковки - проверить товар на наличие дефектов Если обнаружена проблема, не забирайте заказ и сразу свяжитесь со службой поддержки."
faq_payment,faq_payment_chunk_0,intro,# Оплата
faq_payment,faq_payment_chunk_1,Какие есть способы оплаты?,## Какие есть способы оплаты? Доступны следующие способы оплаты: 1. Банковская карта 2. СБП (Система быстрых платежей) 3. Apple Pay / Google Pay 4. Оплата при получении (наложенный платёж) ---
faq_payment,faq_payment_chunk_2,Можно ли оплатить заказ онлайн?,"## Можно ли оплатить заказ онлайн? Да, заказ можно оплатить онлайн следующими способами: - банковской картой - через СБП - через Apple Pay - через Google Pay При онлайн-оплате деньги списываются сразу после оформления заказа. ---"
faq_payment,faq_payment_chunk_3,Можно ли оплатить картой?,"## Можно ли оплатить картой? Да, заказ можно оплатить банковской картой. Принимаются карты: - Visa - MasterCard - МИР - Maestro ---"
faq_payment,faq_payment_chunk_4,Есть ли оплата при получении?,"## Есть ли оплата при получении? Да, доступна оплата при получении — наложенный платёж. Условия: - дополнительная комиссия: 50₽ - доступно для заказов до 10000₽ - оплатить можно наличными или картой курьеру / в отделении Ограничения: - недоступно для цифровых товаров - недоступно для товаров на предзаказ ---"
faq_payment,faq_payment_chunk_5,Можно ли оплатить через СБП?,"## Можно ли оплатить через СБП? Да, доступна оплата через СБП. - без комиссии - моментальное зачисление - оплата через приложение вашего банка Чтобы оплатить через СБП: 1. выберите СБП при оформлении заказа 2. отсканируйте QR-код или перейдите по ссылке 3. подтвердите оплату в приложении банка ---"
faq_payment,faq_payment_chunk_6,Можно ли оплатить через Apple Pay или Google Pay?,"## Можно ли оплатить через Apple Pay или Google Pay? Да, доступна оплата через Apple Pay и Google Pay. - быстрая оплата в один клик - работает на устройствах с поддержкой NFC - данные карты не передаются магазину ---"
faq_payment,faq_payment_chunk_7,Когда списываются деньги?,"## Когда списываются деньги? Если заказ оплачен онлайн, деньги списываются сразу после оформления заказа. ---"
faq_payment,faq_payment_chunk_8,Безопасно ли оплачивать на сайте?,"## Безопасно ли оплачивать на сайте? Да, оплата на сайте безопасна. - используется защищённое соединение SSL - данные карты не сохраняются на наших серверах - соблюдается стандарт PCI DSS ---"
faq_payment,faq_payment_chunk_9,"Что делать, если оплата не проходит?","## Что делать, если оплата не проходит? Если оплата не проходит: 1. проверьте правильность введённых данных карты 2. убедитесь, что на карте достаточно средств 3. проверьте, не отключены ли онлайн-платежи в банке 4. попробуйте другую карту или другой способ оплаты 5. обратитесь в службу поддержки ---"
faq_payment,faq_payment_chunk_10,"Что делать, если деньги списались, но заказ не создался?","## Что делать, если деньги списались, но заказ не создался? Если деньги списались, а заказ не создался: - свяжитесь со службой поддержки - деньги будут возвращены автоматически в течение 3–5 дней - либо заказ будет создан вручную ---"
faq_payment,faq_payment_chunk_11,Как возвращаются деньги?,"## Как возвращаются деньги? При отмене заказа или возврате товара: - деньги возвращаются на ту карту или счёт, с которого была произведена оплата - срок возврата — до 10 рабочих дней - если заказ был оплачен наложенным платежом, возврат выполняется переводом на указанные реквизиты ---"
faq_payment,faq_payment_chunk_12,Есть ли рассрочка?,"## Есть ли рассрочка? Нет, рассрочка в настоящий момент не предоставляется. ---"
faq_payment,faq_payment_chunk_13,Где получить чек и документы?,## Где получить чек и документы? После оплаты электронный чек отправляется на email. Для юридических лиц доступны: - счёт - закрывающие документы
faq_promo,faq_promo_chunk_0,intro,# Промокоды и программа лояльности
faq_promo,faq_promo_chunk_1,Как применить промокод?,"## Как применить промокод? Чтобы применить промокод: 1. Добавьте товары в корзину 2. Перейдите к оформлению заказа 3. Найдите поле «У меня есть промокод» 4. Введите код (например, SALE2026) 5. Нажмите «Применить» 6. Скидка автоматически отобразится в итоговой сумме ---"
faq_promo,faq_promo_chunk_2,Где ввести промокод?,## Где ввести промокод? Поле для ввода промокода находится на странице оформления заказа. Найдите надпись «У меня есть промокод» и введите код перед оплатой. ---
faq_promo,faq_promo_chunk_3,Почему промокод не работает?,## Почему промокод не работает? Возможные причины: - Истёк срок действия промокода - Промокод не распространяется на выбранные товары - Не достигнута минимальная сумма заказа - Промокод уже был использован ранее - Промокод нельзя совместить с текущей скидкой или распродажей ---
faq_promo,faq_promo_chunk_4,Можно ли использовать два промокода одновременно?,"## Можно ли использовать два промокода одновременно? Нет, на один заказ можно применить только один промокод. ---"
faq_promo,faq_promo_chunk_5,Какие правила у промокодов?,## Какие правила у промокодов? - Один промокод на один заказ - Промокод нужно применить до оплаты - Промокоды не возвращаются при отмене заказа - Промокоды не обмениваются на деньги ---
faq_promo,faq_promo_chunk_6,Есть ли сейчас акции или скидки?,## Есть ли сейчас акции или скидки? Актуальные промокоды и акции публикуются: - На главной странице сайта - В email-рассылке - В Telegram-канале магазина - В разделе «Акции» на сайте ---
faq_promo,faq_promo_chunk_7,Есть ли программа лояльности?,"## Есть ли программа лояльности? Да, у нас действует программа лояльности с бонусными баллами."
faq_promo,faq_promo_chunk_8,Как начисляются баллы,### Как начисляются баллы - За каждую покупку начисляется 5% от суммы заказа в виде бонусов - 1 бонусный балл = 1 рубль - Баллы начисляются после получения заказа
faq_promo,faq_promo_chunk_9,Как потратить бонусы,### Как потратить бонусы - Бонусами можно оплатить до 30% стоимости следующего заказа - При оформлении выберите «Списать бонусы» и укажите сумму - Минимальная сумма для списания: 100 баллов
faq_promo,faq_promo_chunk_10,Срок действия бонусов,### Срок действия бонусов Бонусы действуют 12 месяцев с момента начисления. ---
faq_promo,faq_promo_chunk_11,Как узнать баланс бонусов?,## Как узнать баланс бонусов? Проверить баланс бонусов можно: - В личном кабинете в разделе «Мои бонусы» - В мобильном приложении - Обратившись в службу поддержки ---
faq_promo,faq_promo_chunk_12,Есть ли реферальная программа?,"## Есть ли реферальная программа? Да, вы можете пригласить друга и получить бонусы. - За каждого приведённого друга вы получаете 500 бонусов (после его первого заказа) - Ваш друг получает промокод на 10% скидку на первый заказ - Реферальная ссылка доступна в личном кабинете"
faq_return,faq_return_chunk_0,intro,# Возврат и обмен товаров
faq_return,faq_return_chunk_1,Можно ли вернуть товар?,"## Можно ли вернуть товар? Да, вы можете вернуть товар надлежащего качества в установленные сроки. ---"
faq_return,faq_return_chunk_2,Сколько дней на возврат?,"## Сколько дней на возврат? Сроки возврата зависят от категории товара: - Электроника и бытовая техника: 14 дней с момента получения - Одежда и обувь: 30 дней с момента получения - Аксессуары и прочие товары: 14 дней с момента получения Отсчёт начинается со дня, следующего за днём получения. ---"
faq_return,faq_return_chunk_3,Какие условия возврата?,## Какие условия возврата? Для возврата товар должен: - сохранять товарный вид и потребительские свойства - быть в заводской упаковке (если она была) - иметь все ярлыки и бирки - не иметь следов использования ---
faq_return,faq_return_chunk_4,Как оформить возврат?,## Как оформить возврат?
faq_return,faq_return_chunk_5,Через личный кабинет,### Через личный кабинет 1. Войдите в личный кабинет 2. Перейдите в раздел «Мои заказы» 3. Выберите нужный заказ 4. Нажмите «Оформить возврат» 5. Заполните форму с указанием причины 6. Дождитесь подтверждения от поддержки
faq_return,faq_return_chunk_6,Через службу поддержки,### Через службу поддержки Напишите в чат или на email support@example-shop.ru с номером заказа. ---
faq_return,faq_return_chunk_7,Когда вернут деньги?,## Когда вернут деньги? Деньги возвращаются в течение 10 рабочих дней с момента получения товара на складе. ---
faq_return,faq_return_chunk_8,Деньги вернут на карту?,"## Деньги вернут на карту? Да, деньги возвращаются на ту карту или счёт, с которого была произведена оплата. Если заказ был оплачен наложенным платежом, возврат выполняется переводом на указанные вами реквизиты. ---"
faq_return,faq_return_chunk_9,Компенсируется ли стоимость доставки при возврате?,## Компенсируется ли стоимость доставки при возврате? Стоимость доставки при возврате товара надлежащего качества не компенсируется. Исключение: если товар оказался бракованным — стоимость обратной доставки компенсируется полностью. ---
faq_return,faq_return_chunk_10,"Что делать, если пришёл бракованный товар?","## Что делать, если пришёл бракованный товар? Если товар пришёл с дефектом или браком: - обратитесь в поддержку в течение гарантийного срока - предоставьте фото или видео дефекта - стоимость обратной доставки будет компенсирована - вам предложат замену товара или возврат денег ---"
faq_return,faq_return_chunk_11,Можно ли обменять товар?,"## Можно ли обменять товар? Да, товар можно обменять, если он не подошёл по размеру, цвету или модели. Сроки обмена: - стандартные товары: 14 дней - одежда и обувь: 30 дней Условия обмена совпадают с условиями возврата: товар должен сохранять товарный вид и упаковку. ---"
faq_return,faq_return_chunk_12,Какие товары нельзя вернуть?,"## Какие товары нельзя вернуть? Не подлежат возврату: - нижнее бельё - парфюмерия и косметика после вскрытия упаковки - товары индивидуального изготовления (кастомные) - цифровые товары (ключи активации, подписки)"
faq_warranty,faq_warranty_chunk_0,intro,# Гарантия на товары
faq_warranty,faq_warranty_chunk_1,Какая гарантия на товар?,## Какая гарантия на товар? Гарантийный срок зависит от категории товара: - Электроника и бытовая техника: 12 месяцев от производителя - Одежда и обувь: 30 дней - Аксессуары и мелкая электроника: 14 дней - Мебель: 18 месяцев ---
faq_warranty,faq_warranty_chunk_2,Можно ли продлить гарантию?,"## Можно ли продлить гарантию? Да, при покупке техники можно приобрести расширенную гарантию. - Продлевает стандартную гарантию до 24 или 36 месяцев - Покрывает больше случаев, включая случайные повреждения - Стоимость: 5–15% от цены товара ---"
faq_warranty,faq_warranty_chunk_3,Что покрывает гарантия?,## Что покрывает гарантия? Гарантия распространяется на: - производственный брак - дефекты материалов - неисправности при правильной эксплуатации ---
faq_warranty,faq_warranty_chunk_4,Что не является гарантийным случаем?,"## Что не является гарантийным случаем? Гарантия не распространяется на: - механические повреждения (удары, падения, царапины) - повреждения от воздействия жидкости - следы самостоятельного ремонта или вскрытия - повреждения от неправильной эксплуатации - естественный износ ---"
faq_warranty,faq_warranty_chunk_5,"Что делать, если товар сломался?","## Что делать, если товар сломался? Если товар вышел из строя в течение гарантийного срока: 1. Обратитесь в поддержку (чат, email, телефон) 2. Предоставьте номер заказа, описание проблемы, фото или видео дефекта 3. Мы рассмотрим обращение и предложим: - замену на новый товар - ремонт в сервисном центре - возврат денежных средств ---"
faq_warranty,faq_warranty_chunk_6,Куда обращаться по гарантии?,## Куда обращаться по гарантии? - Чат на сайте - Email: support@example-shop.ru - Телефон: 8-800-123-45-67 ---
faq_warranty,faq_warranty_chunk_7,Сколько длится гарантийный ремонт?,## Сколько длится гарантийный ремонт? - Рассмотрение обращения: 1–2 рабочих дня - Диагностика товара: до 10 рабочих дней - Ремонт: до 45 дней - Замена товара: 3–7 рабочих дней ---
faq_warranty,faq_warranty_chunk_8,Нужно ли отправлять товар на ремонт самому?,"## Нужно ли отправлять товар на ремонт самому? Нет, мы организуем бесплатный забор товара курьером. Также можно лично передать товар в сервисный центр — адрес предоставит служба поддержки. ---"
faq_warranty,faq_warranty_chunk_9,Можно ли обменять товар по гарантии?,"## Можно ли обменять товар по гарантии? Да, если товар признан бракованным после диагностики, вам могут предложить замену на аналогичный товар. ---"
faq_warranty,faq_warranty_chunk_10,Обмен товара (не гарантийный случай),"## Обмен товара (не гарантийный случай) Если товар не подошёл по размеру, цвету или модели, его можно обменять: - Стандартные товары: в течение 14 дней - Одежда и обувь: в течение 30 дней Условия: товар должен сохранять товарный вид, упаковку и бирки."
