text,category,source,language,text_original_en
"Я хочу подтвердить наличие товара в магазине, мне нужна помощь",product_info,bitext,ru,"I want to confirm the availability of an item in store, I need help"
"продукт, который я получил, не работает должным образом, как я могу сообщить об ошибке продукта?",product_info,bitext,ru,"a product I received doesn't work properly, how can I report a fucking product error?"
Мне нужна помощь в проверке наличия товара,product_info,bitext,ru,I need assistance checking item availabiliyt
"Ищу информацию о чертовых продуктах, где ее взять?",product_info,bitext,ru,"I'm looking for information about fucking products, where can I get it?"
"Я хочу удалить товар из корзины, как мне это сделать?",product_info,bitext,ru,"I'd like to remove a product from the cart, how could I do it?"
"Мне нужно подтвердить наличие товара онлайн, где это сделать?",product_info,bitext,ru,"I have to confirm the availability of items online, where to  do it?"
"Мне нужна информация о чертовом продюсере, как мне ее найти?",product_info,bitext,ru,"I would like information about a fucking producr, how could I find it?"
"мне нужно посмотреть наличие какого-то гребаного товара в Интернете, помогите мне",product_info,bitext,ru,i have to see the availability of a fucking product online help me
как я мог добавить чертов товар в корзину,product_info,bitext,ru,how could i add a fuckingf item to the basket
"Мне нужно проверить наличие товаров в магазине, могу ли я получить помощь?",product_info,bitext,ru,"I have to see the availability of items in store , could I get some help?"
"хочу сообщить о проблемах в купленном мной продукте, нужно ли мне это сделать",product_info,bitext,ru,wanna report problems in a product i bought were do i do it
"как сообщить о чертовски дефектном товаре, который я получил",product_info,bitext,ru,how to report fucking defective products i received
Мне нужна помощь с добавлением чертовых товаров в корзину.,product_info,bitext,ru,I need assistance adding fucking peoducts to the basket
"Я хотел бы подтвердить наличие товаров в магазине, мне нужна помощь",product_info,bitext,ru,"I'd like to confirm the availability of items in store, I need help"
"Я хотел бы узнать о чертовых продуктах, как я могу получить больше информации?",product_info,bitext,ru,"I would like to know about fucking products, how could I get more information?"
"Я хотел бы проверить наличие этого чертового предмета, вы можете мне помочь?",product_info,bitext,ru,"I would like to check the fucking item availability, can you help me?"
"Мне нужно посмотреть наличие какого-то товара в сети, где я могу это сделать?",product_info,bitext,ru,"I have to see the availability of a fucking item online, where can I do it?"
не могли бы вы помочь мне подтвердить наличие этого чертового товара в Интернете?,product_info,bitext,ru,could you help me confirm the availability of a fucking item online?
Я хотел бы сообщить о проблеме с приобретенным мной продуктом. Могу ли я получить помощь?,product_info,bitext,ru,"I would like to report a fucking problem with a product I purchased , can I get some help?"
"мне нужно удалить чертову вещь из корзины, ты мне поможешь?",product_info,bitext,ru,need to remove a fucking item from the basket will ya help me
"нужно проверить наличие товара, помогите мне",product_info,bitext,ru,need to see the fucking availability of an item help me
"мне нужна помощь, чтобы узнать наличие товара",product_info,bitext,ru,i need help to see the  fucking availability of an item
не могли бы помочь мне проверить наличие товаров в магазине,product_info,bitext,ru,could uhelp me checking the availability of items in store
"мне нужно добавить чертов товар в корзину, помогите мне.",product_info,bitext,ru,i have to add a fucking item to the basket could uhelp me
"заказанный мною продукт работает неправильно, сообщите о проблеме с продуктом",product_info,bitext,ru,"a product I ordered does not work correctly, report a product problem"
"хочу удалить чертовы вещи из корзины, мне нужна помощь",product_info,bitext,ru,wanna remove fucking items from the basket i need assistance
"Я хотел бы увидеть наличие этого чертового товара, где мне это сделать?",product_info,bitext,ru,I'd like to see the fucking item availability where do i do  it
где проверить наличие товара в магазине?,product_info,bitext,ru,where do I check the availability of an item in store?
"Я хотел бы добавить чертовы товары в корзину, где мне это сделать?",product_info,bitext,ru,"I'd like to add fucking items to the cart, where do I do it?"
"Я ищу информацию о продуктах, где я могу ее найти?",product_info,bitext,ru,"I am looking for information about products, where canI find it?"
как удалить долбаные товары из корзины?,product_info,bitext,ru,how do I remove fukcing products from the cart?
"Я хотел бы увидеть наличие этих чертовых предметов, не могли бы вы мне помочь?",product_info,bitext,ru,"I'd like to see the fucking item availability, could you help me?"
"я ищу информацию о продукте, где я могу ее получить",product_info,bitext,ru,im looking for information about a product where can i get it
мне нужна помощь с проверкой наличия этого чертового товара,product_info,bitext,ru,i need assistance checking the fucking item vaailability
"Звоню, чтобы оставить отзыв о вашей продукции.",product_info,ikshana,ru,I am calling to leave my feedback for your products
нужна помощь в отправке отзыва об услуге,product_info,ikshana,ru,want help sending feedback about a service
"звоню, чтобы написать отзыв о товаре",product_info,ikshana,ru,i call to write an opinion about an product
Есть ли способ оставить отзыв о вашей компании?,product_info,ikshana,ru,is there a method to submit a review for ur company
есть ли у вас способ оставить отзыв об услуге?,product_info,ikshana,ru,do you have a method to leave a review about a service?
"Мне нужно отправить отзыв об услуге, как это сделать?",product_info,ikshana,ru,"I need to send some feedback for a service, how to do it?"
"Я не знаю, как я могу отправить отзыв о вашей компании.",product_info,ikshana,ru,I do not know how I can send some feedback for your company
Я должен отправить свой отзыв,product_info,ikshana,ru,I have got to submit my feedback
помогите мне написать комментарий к услуге,product_info,ikshana,ru,help me writing a comment for a service
"Есть ли электронное письмо, по которому можно отправить отзыв о вашей продукции?",product_info,ikshana,ru,is there a e-mail to send my feedback for your products?
у вас есть адрес для отправки отзыва?,product_info,ikshana,ru,do you have an address to send a review?
"Я не знаю, как оставить отзыв об услуге",product_info,ikshana,ru,I do not know how to leave an opinion for a service
"Я не знаю, что сделать, чтобы оставить мнение",product_info,ikshana,ru,I do not know what to do to leave an opinion
как я могу отправить отзыв о продукте?,product_info,ikshana,ru,how can I send some feedback about a product?
"есть ли раздел, где можно оставить отзыв о вашей продукции?",product_info,ikshana,ru,is there a section to submit my feedback for ur products
Я стараюсь оставлять отзывы о ваших услугах.,product_info,ikshana,ru,I try to leave some feedback about your services
оставить отзыв об услуге,product_info,ikshana,ru,leave review for a service
"Мне нужна помощь, чтобы отправить отзыв о ваших услугах",product_info,ikshana,ru,I want help to send my feedback about your services
Есть ли адрес для отправки отзывов о вашей продукции?,product_info,ikshana,ru,is there an address to send feedback for ur products
"есть адрес, где можно оставить отзыв?",product_info,ikshana,ru,is there an address to leave an opinion ?
"Есть ли адрес, по которому можно отправить отзыв о вашей компании?",product_info,ikshana,ru,is there an address to send some feedback for your company?
помогите отправить отзыв о вашей продукции,product_info,ikshana,ru,help submitting some feedback for ur products
"Я не знаю, как я могу оставить отзыв о продукте",product_info,ikshana,ru,I don't know how I can submit some feedback about a product
я стараюсь оставлять свой отзыв,product_info,ikshana,ru,i try to leave my feedback
помогите мне оставить отзыв о вашей продукции,product_info,ikshana,ru,help me to submit my feedback for your products
"Мне нужно оставить отзыв о товаре, помогите мне.",product_info,ikshana,ru,"I have to leave some feedback about a product, help me"
есть ли электронное письмо для отправки моего отзыва о вашей продукции?,product_info,ikshana,ru,is there an e-mail to send my feedbakc for ur products
помогите оставить отзыв о вашей продукции,product_info,ikshana,ru,help leaving feedback for your products
"Мне нужна помощь, чтобы оставить отзыв о ваших услугах",product_info,ikshana,ru,I need assistance leaving an opinion about your services
звоню оставить отзыв,product_info,ikshana,ru,I call to leave a review
"нужна помощь, оставив отзыв об услуге",product_info,ikshana,ru,want assistance leaving some feedback about a service
как я могу отправить отзыв?,product_info,ikshana,ru,how could I submit feedback?
как написать комментарий к вашей продукции?,product_info,ikshana,ru,how to write a comment for your products?
помощь в отправке отзывов о продукте,product_info,ikshana,ru,assistance sending some efedback about a product
где я могу оставить отзыв об услуге?,product_info,ikshana,ru,where do I submit feedback about a service?
"Мне нужна помощь, чтобы оставить отзыв о продукте",product_info,ikshana,ru,I want assistance to leave feedback about a product
"я не знаю, что делать, чтобы написать отзыв об услуге",product_info,ikshana,ru,i dont know what to do to write a review for a service
Могу ли я отправить отзыв об услуге?,product_info,ikshana,ru,can I send some feedback for a service?
как написать отзыв?,product_info,ikshana,ru,how to write an review?
могу ли я написать отзыв о вашей продукции,product_info,ikshana,ru,can i write a review about ur products
помогите оставить блин отзыв о товарах ру,product_info,ikshana,ru,help to leave damn feedback for ru products
"Я не знаю, как отправить отзыв о ваших услугах.",product_info,ikshana,ru,I do not know how to send feedback about your services
как я могу оставить отзыв о наших услугах,product_info,ikshana,ru,how can i submit some feedback forur services
Есть ли у вас способ оставить отзыв о ваших услугах?,product_info,ikshana,ru,do you have a method to leave an opinion for your services?
помогите мне оставить отзыв о ваших услугах,product_info,ikshana,ru,help me to leave feedback for ur services
Я хочу оставить отзыв о вашей компании,product_info,ikshana,ru,I want to leave an opniion for your company
"нужно написать комментарий о ваших услугах, как я могу это сделать",product_info,ikshana,ru,need to write a comment about ur serfices how could i do it
есть ли у вас раздел для отправки отзывов об услуге?,product_info,ikshana,ru,do you have a section to send feedback about a service?
можно ли оставить отзыв о вашей компании?,product_info,ikshana,ru,is it possible to send some feedback about your company?
как я могу отправить отзыв об услуге?,product_info,ikshana,ru,how can I send feedback about a service?
За сколько продаётся HP?,product_info,runlu,ru,
Покажите мне цену на Фейсбук.,product_info,runlu,ru,
какова балансовая стоимость гугля,product_info,runlu,ru,
"Продюсеры, пожалуйста.",product_info,runlu,ru,
Расскажите мне о сегодняшних рыночных тенденциях для [компании],product_info,runlu,ru,
Какова текущая цена акций Google?,product_info,runlu,ru,
Стоимостная цена GSS Energy ( &lt; &lt; Энергетика &gt; &gt; ),product_info,runlu,ru,
Расскажи мне о текущей цене эксксон-мобильных запасов.,product_info,runlu,ru,
Каковы текущие запасы для Яху?,product_info,runlu,ru,
Какова цена AMD на фондовом рынке?,product_info,runlu,ru,
Цена акций за яблоко,product_info,runlu,ru,
Какая разница между вчерашними и сегодняшними ценами на акции Уолмарта?,product_info,runlu,ru,
"Какова цена ""Форд Сток""?",product_info,runlu,ru,
показать стоимость акций гуга,product_info,runlu,ru,
показать значение гуга для носка,product_info,runlu,ru,
Я хотел бы получать обновленную информацию о фондовом рынке каждый день.,product_info,runlu,ru,
Что такое акции Apple,product_info,runlu,ru,
Не могли бы вы дать мне прежний график на будущее.,product_info,runlu,ru,
отправиться в NSDL и искать цены,product_info,runlu,ru,
Какова цена для Марвела?,product_info,runlu,ru,
x цена акций компании,product_info,runlu,ru,
Скажи мне краткое прогнозирование запасов Microsoft на 30 дней вперед.,product_info,runlu,ru,
Открытая цена акций за имя,product_info,runlu,ru,
ПАДА проверяет фондовые цены на эту продукцию.,product_info,runlu,ru,
перечислить стоимость акций этой компании,product_info,runlu,ru,
Какова цена GOOGL сегодня,product_info,runlu,ru,
Ставка запасов Фейсбука,product_info,runlu,ru,
Как поживает IBM?,product_info,runlu,ru,
Могу ли я получить список акций олы и uber?,product_info,runlu,ru,
Какова цена акций IBM?,product_info,runlu,ru,
Сколько стоит акции ФБР?,product_info,runlu,ru,
Когда айфон обычно падает,product_info,runlu,ru,
Какова цена яблочного запаса сегодня,product_info,runlu,ru,
"Сделай так, чтобы акции поднялись или упали сегодня для Уолмарта.",product_info,runlu,ru,
Сведения об товарно-материальных запасах,product_info,runlu,ru,
Каков рост стоимости акций за последнюю неделю Дисней?,product_info,runlu,ru,
"Что ""Apple"" закрыла вчера?",product_info,runlu,ru,
Какова текущая цена акций...,product_info,runlu,ru,
Какие последние новости на фондовом рынке?,product_info,runlu,ru,
В наши дни Старбак много чего делает?,product_info,runlu,ru,
Сколько стоит акции Старбака?,product_info,runlu,ru,
Где ДЕЛЛ сейчас стоит на фондовом рынке?,product_info,runlu,ru,
Какова ставка за акции Уэллса Фарго?,product_info,runlu,ru,
"Пожалуйста, выясните цену акций Microsoft в Насдаке.",product_info,runlu,ru,
Дайте мне цену акций Intel,product_info,runlu,ru,
"PDA, каковы цены на акции",product_info,runlu,ru,
Какие у меня колебания акций?,product_info,runlu,ru,
Насколько эффективно будет покупать акции NIKE,product_info,runlu,ru,
Какова цена акций (вставить),product_info,runlu,ru,
"Какова цена акций ""Сенсекса"" сейчас?",product_info,runlu,ru,
помощь в написании комментария к вашей продукции,product_info,ikshana,ru,assistance writing a comment for your products
мне нужна помощь в извлечении чертовых товаров из корзины,product_info,bitext,ru,i want help removing fucking items from the cart
"хочу добавить товары в корзину, как мне это сделать?",product_info,bitext,ru,wanna add items to the basket how can i do it
"мне нужно добавить элементы в catr, где я могу это сделать",product_info,bitext,ru,i got to add items to the catr where could i do it
"Я хотел бы подтвердить наличие этого чертового товара в магазине, как мне это сделать?",product_info,bitext,ru,I'd like to confirm the  availability of a fucking product in store how do i do it
"Я не вижу наличия чертовых товаров в магазине, мне нужна помощь",product_info,bitext,ru,i have ot see the availability of fucking items in store i need help
"мне нужно подтвердить наличие чертовых товаров в магазине, поможет мне",product_info,bitext,ru,i have to confirm the availability of fucking products in store will uhelp me
"Я хочу удалить товары из катра, как это сделать",product_info,bitext,ru,I'd like to remove products from the catr how to do it
"Я хотел бы проверить наличие товаров онлайн, как это сделать?",product_info,bitext,ru,"I would ilke to check the availability of items online, how to do it?"
"Мне нужно проверить наличие товара, не могли бы вы мне помочь?",product_info,bitext,ru,"I have to see the availability of an item , could you help me?"
"мне нужно проверить наличие товаров в магазине, мне нужна помощь",product_info,bitext,ru,i got to check the availability of prducts in store i need help
"Я бы хотел убрать долбанные продукты из корзины, помогите мне.",product_info,bitext,ru,I'd like to remove fucking products from the basket help me
"Я хотел бы подтвердить наличие чертовых товаров в Интернете, вы мне поможете?",product_info,bitext,ru,I'd like to confirm the availability of fucking items online wil ya help me
"хочу удалить товар из корзины, могу ли я это сделать",product_info,bitext,ru,wanna remove an item from the basket were could i do it
"Я хочу узнать о продукте, как я могу получить дополнительную информацию?",product_info,bitext,ru,"I want to know about a product, how could I fidn more information?"
есть ли этот товар в наличии,product_info,bitext,ru,is this prodsuct in stock
"Мне нравится информация о продукте, где я могу ее найти",product_info,bitext,ru,id like information about a product where can i find it
"Я хочу удалить товары из корзины, как мне это сделать?",product_info,bitext,ru,"I want to remove products from the basket, how can I do it ?"
где я могу получить информацию о продукте,product_info,bitext,ru,where could i fund information about a product
можешь мне помочь добавить чертовы товары в корзину?,product_info,bitext,ru,can ya help me to add fucking items to the cart
"мне нужно добавить товары в корзину, помогите мне",product_info,bitext,ru,i got to add products to the basket can uhelp me
хочу знать о чертовом продукте,product_info,bitext,ru,wanna know about a fucking product
Вы дадите мне информацию о продуктах?,product_info,bitext,ru,will you give me information about products ?
не могли бы вы мне помочь проверить наличие товара?,product_info,bitext,ru,could you help me checking the availability of an item?
Можете ли вы помочь мне увидеть наличие этого чертового продукта в Интернете?,product_info,bitext,ru,can ya help me seeing the availability of a fucking product online
"мне нужно вытащить чертовы вещи из тележки, где это сделать",product_info,bitext,ru,i have to remove fucking items from the carrt where to do it
"Я должен увидеть наличие какого-то гребаного товара в Интернете, помогите мне.",product_info,bitext,ru,"I got to see the availability of a fucking product online, help me"
"Мне нужно сообщить об ошибке продукта, мне нужна помощь",product_info,bitext,ru,"I got to report an product error, I need help"
"хочу оставить отзыв о ваших услугах, помогите мне",product_info,ikshana,ru,wanna submit feedback for ur services help me
"Я хотел бы увидеть наличие какого-то долбанного товара в магазине, где я могу это сделать?",product_info,bitext,ru,"I'd like to see the availability of a fucking item in store, where can I do it?"
как я могу проверить наличие чертовых товаров онлайн?,product_info,bitext,ru,how could i check the availability of fucking items online
"Я хотел бы увидеть наличие этого чертового предмета, не могли бы вы мне помочь?",product_info,bitext,ru,"I would like to see the fucking item availability, could you help me?"
где проверить наличие чертового товара,product_info,bitext,ru,where to check the fucking item availability
"Я хотел бы сообщить о проблеме с купленным мной продуктом, мне нужна помощь",product_info,bitext,ru,I'd like to report a fucking issue with a product i purchased i need assistance
"Мне нужна помощь, чтобы добавить чертов товар в корзину.",product_info,bitext,ru,I need help adding a fucking product tothe basket
Мне нужно отправить отзыв об услуге,product_info,ikshana,ru,I have got to submit some feedback for a service
"Я ищу информацию о чертовых продуктах, могу ли я получить помощь?",product_info,bitext,ru,"I'm looking for inmformation about fucking products, could I get some help?"
"Мне нужна помощь, чтобы проверить наличие товара",product_info,bitext,ru,I need help to check item availability
"Я хочу увидеть наличие товара, мне нужна помощь",product_info,bitext,ru,"I want to see item availability , I need assistance"
Я хотел бы сообщить о проблемах в купленном мной продукте. Где я могу это сделать?,product_info,bitext,ru,"I'd like to report fucking problems in a product I purchaded, where can I do it?"
"я должен сообщить о чертовых проблемах с приобретенным мной продуктом, как я могу это сделать",product_info,bitext,ru,i have to report fucking problems with a product i purchased how could i do it
"Я хочу добавить чертовы товары в корзину, где я могу это сделать?",product_info,bitext,ru,"I want to add fucking products to the cart, where can I do it ?"
"хочу проверить наличие товара в магазине, как я могу это сделать",product_info,bitext,ru,wanna check the availability of an product in store how could i do it
"Мне нужна помощь, чтобы отправить отзыв о вашей продукции",product_info,ikshana,ru,I want help to send my feedback for your products
"купленный мной продукт не работает должным образом, могу ли я сообщить о проблеме с продуктом?",product_info,bitext,ru,"a product I purchased does not work properly, could I report a product issue?"
"Я хотел бы узнать больше о чертовых продуктах, можете ли вы дать мне некоторую информацию?",product_info,bitext,ru,"I would like to know more abou fucking products, can you give me some information?"
"нужна помощь, оставлю свой отзыв об услуге",product_info,ikshana,ru,want assistance leavingmy feedback for a service
"Мне нужно проверить наличие какого-то товара в магазине, это может мне помочь.",product_info,bitext,ru,need to see the availability of a fucking item in store could uhelp me
помоги мне проверить наличие чертового товара,product_info,bitext,ru,help me checking the fucking item availability
"Я хочу узнать больше о продукте, дайте мне некоторую информацию",product_info,bitext,ru,"I want to know more about a product, give me some information"
"Я хотел бы узнать больше об этом чертовом продукте, можете ли вы дать мне некоторую информацию?",product_info,bitext,ru,"I'd like to know more about an fucking product, can you give me some information?"
"мне нужно добавить товары в корзину, могу ли я получить помощь",product_info,bitext,ru,i have to add items to the  cart can i get some help
Мне нужна помощь с добавлением чертового товара в корзину.,product_info,bitext,ru,I want assistance adding a fucking product tp the cart
"хочу сообщить о чертовых проблемах с полученным мной продуктом, мне поможет",product_info,bitext,ru,wanna report fucking probles in a product i received will uhelp me
"нужно удалить чертов товар из корзины, где я могу это сделать",product_info,bitext,ru,need to removea fucking item from the cart where can i do it
"Мне нужна информация о продукте, где я могу ее найти?",product_info,bitext,ru,"I want information about a product, where could I find it?"
"Я ищу информацию о продуктах, которые могли бы мне помочь.",product_info,bitext,ru,I'm looking for information about products could uhel me
"Я хотел бы добавить офигенные товары в корзину, мне нужна помощь",product_info,bitext,ru,"I would like to add fucking items to the basket, I need help"
"Я бы хотел удалить чертов товар из корзины, мне нужна помощь",product_info,bitext,ru,I'd lke to remove a fucking item from the cart i need help
Я хочу увидеть наличие товара,product_info,bitext,ru,I want to see the availability of a item
"хочу подтвердить наличие чертовых товаров в Интернете, мне поможет",product_info,bitext,ru,wanna confirm the availability of fucking items online will  uhelp me
"Я бы хотел удалить чертовы вещи из корзины, как мне это сделать?",product_info,bitext,ru,id like to remove fucking items from the basket how do i do it
"нужно удалить чертовы товары из корзины, можете мне помочь",product_info,bitext,ru,need to remove fucking products from the cart can uhelp me
"мне нужно посмотреть наличие товара, могу ли я получить помощь",product_info,bitext,ru,ik have to see item availability could i get some help
как я могу найти информацию о продуктах,product_info,bitext,ru,how could i find information about products
посмотреть наличие товара онлайн,product_info,bitext,ru,see the availability of an item online
"Мне нужно удалить товар из корзины, могу ли я получить помощь?",product_info,bitext,ru,"I need to remove an item from the basket,  can I get some help?"
"Я хотел бы проверить наличие чертовых товаров в магазине, как я могу это сделать?",product_info,bitext,ru,"I'd like to check hte availability of fucking products in store, how could I do it?"
могу ли я добавить товар в корзину?,product_info,bitext,ru,can I adda product to the basket?
мне нужна помощь в добавлении товаров в корзину,product_info,bitext,ru,i want axsistance adding items to the basket
"Я хочу узнать о чертовом продукте, где мне найти дополнительную информацию?",product_info,bitext,ru,"I want to know about a fucking product, where do I find more information?"
"Я хочу удалить товары из корзины, где я могу это сделать?",product_info,bitext,ru,I'd like to remove products from the basket where can i do it
Мне нужно просмотреть наличие товаров в Интернете. Вы мне поможете?,product_info,bitext,ru,"I got to see the availabilty of items online, will you help me?"
"Мне нужно проверить наличие товара, как это сделать?",product_info,bitext,ru,"I need to check the fucking availability of an item, how to do it?"
"Мне нужно увидеть наличие этого чертового предмета, могу ли я получить помощь?",product_info,bitext,ru,"I need to see the fucking item availability, can Iget some help?"
"Мне нужно подтвердить наличие товара онлайн, можете ли вы мне помочь?",product_info,bitext,ru,"I need to confirm the availability of a product online, can you help me?"
"Мне необходимо проверить наличие товара в магазине, где я могу это сделать?",product_info,bitext,ru,"I need to check the availability of products in store, where could I do it?"
"мне нужна помощь, чтобы отправить отзыв о нашей компании",product_info,ikshana,ru,i need assistance to send my feedback aboutur company
Я хочу удалить товар из корзины,product_info,bitext,ru,I would like to remove a product from the cart
где я могу посмотреть наличие товара?,product_info,bitext,ru,where can I see the fucking availability of an item?
Я хочу подтвердить наличие товара онлайн,product_info,bitext,ru,I'd like to confirm the availability of an item online
"хочу узнать о продукте, могу найти некоторую информацию",product_info,bitext,ru,wanna know about a product can ufind some informztion
у вас есть похожие модели в наличии,product_info,bitext,ru,ya have similar models in stock
"я не знаю, как я могу оставить чертов комментарий для твоих людей",product_info,ikshana,ru,i do not know how i can leave a damn comment for ur peoducts
"Я хочу повторить проблему с продуктом, как это сделать?",product_info,bitext,ru,"I want to repoet a product issue, how to do it?"
"мой продукт не работает так, как указано. Помогите мне сообщить о проблеме с продуктом.",product_info,bitext,ru,my product does not work as specified help me to report a product problwm
можно ли посмотреть наличие товаров онлайн,product_info,bitext,ru,is it possible to seethe availability of products online
Мне нужно сообщить о проблеме с заказанным товаром. Где я могу это сделать?,product_info,bitext,ru,"I got to report a fucking problem in a product I ordered, where can I do it?"
"Я хотел бы подтвердить наличие продуктов онлайн, мне нужна помощь",product_info,bitext,ru,"I'd like to confirm the availability of products online, I need help"
Я хочу сообщить об ошибках в купленном мной продукте. Где я могу это сделать?,product_info,bitext,ru,"I want to report errors with a product I bought, where coupd I do it?"
хочу сообщить об ошибках в приобретенном мной продукте,product_info,bitext,ru,wanna report errors in a product i purchased
"Я хотел бы узнать о наличии товаров в магазине, не могли бы вы мне помочь?",product_info,bitext,ru,"I'd like to see the availability of products in store, could you help me?"
"Я не знаю, как написать отзыв об услуге.",product_info,ikshana,ru,I don't know how to write a review about a service
могу ли я оставить проклятое мнение о товаре?,product_info,ikshana,ru,can I leave a damn opinion about a product?
"Я хочу добавить чертовы галстуки в корзину, ты мне поможешь?",product_info,bitext,ru,"I want to add fucking tiems to the basket, will you help me?"
могу ли я удалить чертов товар из корзины?,product_info,bitext,ru,could i remove a fucking item from the cart
"Я хотел бы увидеть наличие товара в Интернете, вы мне поможете?",product_info,bitext,ru,id like to seethe availability of an item online will ya help me
удалить товар из корзины,product_info,bitext,ru,remove an item from the basket
"Я хочу добавить товар в корзину, где это можно сделать?",product_info,bitext,ru,"I would like to ad an item to the cart, where can I do it?"
Могу ли я проверить наличие чертовых товаров онлайн?,product_info,bitext,ru,can i check the availability of fucking  items online
"Мне нужно проверить наличие долбаной вещи в магазине, где это сделать?",product_info,bitext,ru,"I got to check the availability of a fucking item in store, where to d it?"
"мне нужно удалить чертов товар из корзины, можешь мне помочь?",product_info,bitext,ru,i got to remove an fucking product from the basket can ya help me
"Мне нужна помощь, чтобы вытащить чертовы вещи из корзины.",product_info,bitext,ru,I need help to remoe fucking items from the basket
"Мне нужна информация о продуктах, как я могу ее получить?",product_info,bitext,ru,I'd like inmformation about products how could i get it
"Я ищу информацию о продуктах, мне нужна помощь",product_info,bitext,ru,I'm looking for information about products i need assistance
"Мне нужно оставить комментарий к вашим услугам, как это сделать?",product_info,ikshana,ru,"I need to leave a comment for your services, how to do it?"
"нужно добавить товары в корзину, как мне это сделать",product_info,bitext,ru,need to add items to the cart hwere do i do it
"Мне нужно добавить товар в корзину, могу ли я получить помощь?",product_info,bitext,ru,"I have to add a product to the basket, can I get some help?"
Мне нужно сообщить об ошибках в продукте. Как я могу это сделать?,product_info,bitext,ru,"I got to report errors with a product, how can I do it?"
"нужно проверить наличие чертовых товаров в Интернете, как я могу это сделать",product_info,bitext,ru,need to check the availability of fucking products online how could i do it
как посмотреть наличие товара онлайн?,product_info,bitext,ru,how to see the availability of items online?
"Я хотел бы узнать о чертовом продукте, найду некоторую информацию",product_info,bitext,ru,id like to know moe about a fucking product will ufind some information
"хочу проверить наличие товара в магазине, могу ли я получить помощь",product_info,bitext,ru,wanna check the availability of an product in store can i get some help
"мне нужно проверить наличие товара, могу ли я получить помощь?",product_info,bitext,ru,i got to see the fucking availability of an item can i get some help
"Нужна помощь, чтобы оставить комментарий к вашим продуктамa",product_info,ikshana,ru,need help to leave a comment for your productsa
