text_original,text_normalized,raw_label,label,source,is_synthetic,is_augmented,is_hard_negative,label_before_review,parent_sample_id,hard_negative_pair,hard_negative_pair_id,hard_negative_pair_similarity,sample_id
"Я хотел бы узнать о чертовом продукте, найду некоторую информацию","я хотел бы узнать о чертовом продукте, найду некоторую информацию",product_info,product_info,bitext|hard_negative_manual,False,False,True,product_info,stg1_000262,general_info__product_info,rev_037,0.955133020877838,hneg_rev_037_2_stg1_000262
"Я хотел бы найти магазины поблизости, мне нужна помощь","я хотел бы найти магазины поблизости, мне нужна помощь",general_info,general_info,bitext|hard_negative_manual,False,False,True,general_info,stg1_001065,general_info__product_info,rev_038,0.9548752903938292,hneg_rev_038_1_stg1_001065
"Я хотел бы подтвердить наличие товаров в магазине, мне нужна помощь","я хотел бы подтвердить наличие товаров в магазине, мне нужна помощь",product_info,product_info,bitext|hard_negative_manual,False,False,True,product_info,stg1_000030,general_info__product_info,rev_038,0.9548752903938292,hneg_rev_038_2_stg1_000030
"Я хотел бы знать о ближайших к черту магазинах, где я могу получить больше информации?","я хотел бы знать о ближайших к черту магазинах, где я могу получить больше информации?",general_info,general_info,bitext|hard_negative_manual,False,False,True,general_info,stg1_001068,general_info__product_info,rev_039,0.953338086605072,hneg_rev_039_1_stg1_001068
"Я хотел бы узнать о чертовых продуктах, как я могу получить больше информации?","я хотел бы узнать о чертовых продуктах, как я могу получить больше информации?",product_info,product_info,bitext|hard_negative_manual,False,False,True,product_info,stg1_000031,general_info__product_info,rev_039,0.953338086605072,hneg_rev_039_2_stg1_000031
"Я хочу найти магазин, где я могу это сделать?","я хочу найти магазин, где я могу это сделать?",general_info,general_info,bitext|hard_negative_manual,False,False,True,general_info,stg1_001170,general_info__product_info,rev_040,0.9523906707763672,hneg_rev_040_2_stg1_001170
"Мне нужно найти магазины в моем районе, вы можете мне помочь?","мне нужно найти магазины в моем районе, вы можете мне помочь?",general_info,general_info,bitext|hard_negative_manual,False,False,True,general_info,stg1_001113,general_info__product_info,rev_042,0.9509313702583312,hneg_rev_042_1_stg1_001113
"мне нужно найти магазины, где я могу это сделать","мне нужно найти магазины, где я могу это сделать",general_info,general_info,bitext|hard_negative_manual,False,False,True,general_info,stg1_001138,general_info__product_info,rev_043,0.9507072567939758,hneg_rev_043_1_stg1_001138
"Мне нужно найти ближайший ко мне магазин, где я могу это сделать?","мне нужно найти ближайший ко мне магазин, где я могу это сделать?",general_info,general_info,bitext|hard_negative_manual,False,False,True,general_info,stg1_001100,general_info__product_info,rev_044,0.9492522478103638,hneg_rev_044_1_stg1_001100
Мне нужна информация о часах работы вашего магазина. Могу ли я получить помощь?,мне нужна информация о часах работы вашего магазина. могу ли я получить помощь?,general_info,general_info,bitext|hard_negative_manual,False,False,True,general_info,stg1_000895,general_info__product_info,rev_045,0.9490718841552734,hneg_rev_045_1_stg1_000895
Я хотел бы сообщить об ошибках в купленном мной продукте. Не могли бы вы мне помочь?,я хотел бы сообщить об ошибках в купленном мной продукте. не могли бы вы мне помочь?,product_info,product_info,bitext|hard_negative_manual,False,False,True,product_info,stg1_000293,general_info__product_info,rev_048,0.946748435497284,hneg_rev_048_2_stg1_000293
"Я хочу знать о самых дорогих магазинах, где мне найти дополнительную информацию?","я хочу знать о самых дорогих магазинах, где мне найти дополнительную информацию?",general_info,general_info,bitext|hard_negative_manual,False,False,True,general_info,stg1_000920,general_info__product_info,rev_049,0.9448004364967346,hneg_rev_049_1_stg1_000920
