text_original,text_normalized,label,source,is_synthetic,is_augmented,is_hard_negative,hard_negative_pair,notes
не грузится экран входа,не грузится экран входа,technical_issue,stage3_hardneg_manual,False,False,True,technical_issue__account,boundary
ошибка сервера при логине,ошибка сервера при логине,technical_issue,stage3_hardneg_manual,False,False,True,technical_issue__account,boundary
сайт падает при входе,сайт падает при входе,technical_issue,stage3_hardneg_manual,False,False,True,technical_issue__account,boundary

когда вернут деньги?,когда вернут деньги?,payment_refund,stage3_hardneg_manual,False,False,True,return_exchange__payment_refund,boundary
возврат денег на карту,возврат денег на карту,payment_refund,stage3_hardneg_manual,False,False,True,return_exchange__payment_refund,boundary
как получить возврат средств?,как получить возврат средств?,payment_refund,stage3_hardneg_manual,False,False,True,return_exchange__payment_refund,boundary
сколько ждать возврат денег?,сколько ждать возврат денег?,payment_refund,stage3_hardneg_manual,False,False,True,return_exchange__payment_refund,boundary
вернут ли деньги за заказ?,вернут ли деньги за заказ?,payment_refund,stage3_hardneg_manual,False,False,True,return_exchange__payment_refund,boundary
когда будет возврат средств?,когда будет возврат средств?,payment_refund,stage3_hardneg_manual,False,False,True,return_exchange__payment_refund,boundary
деньги за возврат где?,деньги за возврат где?,payment_refund,stage3_hardneg_manual,False,False,True,return_exchange__payment_refund,boundary
возврат средств оформлен?,возврат средств оформлен?,payment_refund,stage3_hardneg_manual,False,False,True,return_exchange__payment_refund,boundary
сколько идет возврат денег?,сколько идет возврат денег?,payment_refund,stage3_hardneg_manual,False,False,True,return_exchange__payment_refund,boundary
деньги вернут на карту?,деньги вернут на карту?,payment_refund,stage3_hardneg_manual,False,False,True,return_exchange__payment_refund,boundary
как вернуть товар?,как вернуть товар?,return_exchange,stage3_hardneg_manual,False,False,True,return_exchange__payment_refund,boundary
обменять товар можно?,обменять товар можно?,return_exchange,stage3_hardneg_manual,False,False,True,return_exchange__payment_refund,boundary
куда отправить возврат товара?,куда отправить возврат товара?,return_exchange,stage3_hardneg_manual,False,False,True,return_exchange__payment_refund,boundary
не подошел товар,не подошел товар,return_exchange,stage3_hardneg_manual,False,False,True,return_exchange__payment_refund,boundary
брак как вернуть,брак как вернуть,return_exchange,stage3_hardneg_manual,False,False,True,return_exchange__payment_refund,boundary
как оформить возврат товара?,как оформить возврат товара?,return_exchange,stage3_hardneg_manual,False,False,True,return_exchange__payment_refund,boundary
можно сдать товар обратно?,можно сдать товар обратно?,return_exchange,stage3_hardneg_manual,False,False,True,return_exchange__payment_refund,boundary
обмен товара где оформить?,обмен товара где оформить?,return_exchange,stage3_hardneg_manual,False,False,True,return_exchange__payment_refund,boundary
как сделать обмен?,как сделать обмен?,return_exchange,stage3_hardneg_manual,False,False,True,return_exchange__payment_refund,boundary
возврат товара куда?,возврат товара куда?,return_exchange,stage3_hardneg_manual,False,False,True,return_exchange__payment_refund,boundary
