pair_id,target_pair,sample_id_1,sample_id_2,text_1,text_2,label_1,label_2,cosine_similarity,decision,target_label,comment
rev_020,payment_refund__return_exchange,stg1_002268,stg1_001313,"Я бы хотел сделать чертов платеж, где мне это сделать?","Я хотел бы получить чертову компенсацию, где я могу это сделать?",payment_refund,return_exchange,0.9570544958114624,drop_1,,
rev_021,payment_refund__return_exchange,stg1_001245,stg1_002325,"мне нужна информация о твоем чертовом процессе возврата, могу я ее получить","хочу узнать о твоем чертовом процессе возврата денег, дай мне немного информации",return_exchange,payment_refund,0.9566429853439332,hard_negative,,
rev_022,payment_refund__return_exchange,stg1_002235,stg1_001308,"Можете ли вы помочь мне проверить, в каких случаях я могу запросить возврат средств?","Я хотел бы запросить возврат средств, могу ли я получить некоторую помощь?",payment_refund,return_exchange,0.956625998020172,relabel_2,payment_refund,
rev_023,payment_refund__return_exchange,stg1_002239,stg1_001438,Мне нужна информация о вашей политике возврата средств. Можете ли вы мне помочь?,мне нужна информация о вашей политике возврата,payment_refund,return_exchange,0.956445336341858,hard_negative,,
rev_024,payment_refund__return_exchange,stg1_001473,stg1_002357,"мне нужно потребовать возврат средств, как это сделать",мне нужно отследить возврат средств,return_exchange,payment_refund,0.9562716484069824,relabel_1,payment_refund,
rev_025,payment_refund__return_exchange,stg1_001434,stg1_002307,"мне нужна помощь, чтобы запросить гребаный возврат средств","нужна помощь, чтобы запросить возврат моих денег",return_exchange,payment_refund,0.9562044143676758,relabel_1,payment_refund,
rev_026,general_info__product_info,stg1_001103,stg1_000218,"Я бы хотел найти чертовы магазины, как мне это сделать?","Я хотел бы проверить наличие чертовых товаров в магазине, как я могу это сделать?",general_info,product_info,0.9675763845443726,hard_negative,,
rev_027,general_info__product_info,stg1_001133,stg1_000157,"мне нужно найти чертов магазин рядом со мной, помоги мне","мне нужно подтвердить наличие чертовых товаров в магазине, поможет мне",general_info,product_info,0.9654960036277772,hard_negative,,
rev_028,general_info__product_info,stg1_001135,stg1_000157,"мне нужно поискать чертовы магазины рядом со мной, мне нужна помощь","мне нужно подтвердить наличие чертовых товаров в магазине, поможет мне",general_info,product_info,0.964128851890564,hard_negative,,
rev_029,general_info__product_info,stg1_000242,stg1_001088,"Я хотел бы узнать о наличии товаров в магазине, не могли бы вы мне помочь?","Я хотел бы найти ближайший магазин, не могли бы вы мне помочь?",product_info,general_info,0.9608681201934814,hard_negative,,
rev_030,general_info__product_info,stg1_001137,stg1_000157,"мне нужна помощь, чтобы найти чертовы магазины рядом со мной","мне нужно подтвердить наличие чертовых товаров в магазине, поможет мне",general_info,product_info,0.9602161645889282,hard_negative,,
rev_031,general_info__product_info,stg1_000926,stg1_000218,"Я хотел бы найти чертовы магазины в моем районе, как это сделать?","Я хотел бы проверить наличие чертовых товаров в магазине, как я могу это сделать?",general_info,product_info,0.9596277475357056,hard_negative,,
rev_032,general_info__product_info,stg1_000940,stg1_000218,"Мне нужно найти чертов магазин, как мне это сделать?","Я хотел бы проверить наличие чертовых товаров в магазине, как я могу это сделать?",general_info,product_info,0.9584357738494872,hard_negative,,
rev_033,general_info__product_info,stg1_000939,stg1_000001,"хочу найти магазины в моем районе, могу ли я получить помощь","хочу подтвердить наличие товара в магазине, могу ли я получить помощь",general_info,product_info,0.9584168791770936,hard_negative,,
rev_034,general_info__product_info,stg1_001092,stg1_000218,"Мне нужно проверить часы работы твоего чертового магазина, как я могу это сделать?","Я хотел бы проверить наличие чертовых товаров в магазине, как я могу это сделать?",general_info,product_info,0.957221508026123,hard_negative,,
rev_035,general_info__product_info,stg1_001118,stg1_000214,"нужно найти ближайший ко мне магазин, могу ли я получить помощь","мне нужно посмотреть наличие товара, могу ли я получить помощь",general_info,product_info,0.9570022821426392,hard_negative,,
rev_036,general_info__product_info,stg1_001067,stg1_000010,"мне нужно найти ближайший магазин, могу ли я получить помощь?",Мне нужно подтвердить наличие товаров в магазине. Могу ли я получить помощь?,general_info,product_info,0.9558049440383912,hard_negative,,
rev_037,general_info__product_info,stg1_001168,stg1_000262,"Я хотел бы знать о чертовых магазинах поблизости, я дам мне некоторую информацию","Я хотел бы узнать о чертовом продукте, найду некоторую информацию",general_info,product_info,0.955133020877838,hard_negative,,
rev_038,general_info__product_info,stg1_001065,stg1_000030,"Я хотел бы найти магазины поблизости, мне нужна помощь","Я хотел бы подтвердить наличие товаров в магазине, мне нужна помощь",general_info,product_info,0.9548752903938292,hard_negative,,
rev_039,general_info__product_info,stg1_001068,stg1_000031,"Я хотел бы знать о ближайших к черту магазинах, где я могу получить больше информации?","Я хотел бы узнать о чертовых продуктах, как я могу получить больше информации?",general_info,product_info,0.953338086605072,hard_negative,,
rev_040,general_info__product_info,stg1_000227,stg1_001170,"Мне необходимо проверить наличие товара в магазине, где я могу это сделать?","Я хочу найти магазин, где я могу это сделать?",product_info,general_info,0.9523906707763672,hard_negative,,
rev_041,general_info__product_info,stg1_000936,stg1_000157,помоги мне найти чертовы магазины рядом со мной,"мне нужно подтвердить наличие чертовых товаров в магазине, поможет мне",general_info,product_info,0.9518795609474182,hard_negative,,
rev_042,general_info__product_info,stg1_001113,stg1_000242,"Мне нужно найти магазины в моем районе, вы можете мне помочь?","Я хотел бы узнать о наличии товаров в магазине, не могли бы вы мне помочь?",general_info,product_info,0.9509313702583312,hard_negative,,
rev_043,general_info__product_info,stg1_001138,stg1_000227,"мне нужно найти магазины, где я могу это сделать","Мне необходимо проверить наличие товара в магазине, где я могу это сделать?",general_info,product_info,0.9507072567939758,hard_negative,,
rev_044,general_info__product_info,stg1_001100,stg1_000227,"Мне нужно найти ближайший ко мне магазин, где я могу это сделать?","Мне необходимо проверить наличие товара в магазине, где я могу это сделать?",general_info,product_info,0.9492522478103638,hard_negative,,
rev_045,general_info__product_info,stg1_000895,stg1_000010,Мне нужна информация о часах работы вашего магазина. Могу ли я получить помощь?,Мне нужно подтвердить наличие товаров в магазине. Могу ли я получить помощь?,general_info,product_info,0.9490718841552734,hard_negative,,
rev_046,general_info__product_info,stg1_000985,stg1_000068,"мне нужна помощь, чтобы связаться со службой поддержки клиентов","Мне нужна помощь, чтобы отправить отзыв о ваших услугах",general_info,product_info,0.9486197233200072,drop_both,,
rev_047,general_info__product_info,stg1_000984,stg1_000068,"Мне нужна помощь, чтобы позвонить в службу поддержки клиентов","Мне нужна помощь, чтобы отправить отзыв о ваших услугах",general_info,product_info,0.9484978318214417,drop_both,,
rev_048,general_info__product_info,stg1_001150,stg1_000293,"Я хотел бы поговорить со службой поддержки клиентов, не могли бы вы мне помочь?",Я хотел бы сообщить об ошибках в купленном мной продукте. Не могли бы вы мне помочь?,general_info,product_info,0.946748435497284,hard_negative,,
rev_049,general_info__product_info,stg1_000920,stg1_000221,"Я хочу знать о самых дорогих магазинах, где мне найти дополнительную информацию?","Я хочу узнать о чертовом продукте, где мне найти дополнительную информацию?",general_info,product_info,0.9448004364967346,hard_negative,,
rev_050,general_info__product_info,stg1_000087,stg1_001116,"я не знаю, что делать, чтобы написать отзыв об услуге","Я не знаю, как мне поговорить со службой поддержки клиентов",product_info,general_info,0.9447808861732484,relabel_1,general_info,
