chunk_id,category,source_group,source_file,source_path,header_h1,header_h2,header_h3,header_path,text,token_count
stg5_chunk_00022,payment,faq,payment_methods.md,backend\data\knowledge_base\payment_methods.md,Оплата,Можно ли оплатить через СБП?,,Оплата > Можно ли оплатить через СБП?,"# Оплата
## Можно ли оплатить через СБП?

Да, доступна оплата через СБП.

- без комиссии - моментальное зачисление - оплата через приложение вашего банка

Чтобы оплатить через СБП: 1. выберите СБП при оформлении заказа 2. отсканируйте QR-код или перейдите по ссылке 3. подтвердите оплату в приложении банка

---",83
stg5_chunk_00023,payment,faq,payment_methods.md,backend\data\knowledge_base\payment_methods.md,Оплата,Можно ли оплатить через Apple Pay или Google Pay?,,Оплата > Можно ли оплатить через Apple Pay или Google Pay?,"# Оплата
## Можно ли оплатить через Apple Pay или Google Pay?

Да, доступна оплата через Apple Pay и Google Pay.

- быстрая оплата в один клик - работает на устройствах с поддержкой NFC - данные карты не передаются магазину

---",56
stg5_chunk_00024,payment,faq,payment_methods.md,backend\data\knowledge_base\payment_methods.md,Оплата,Когда списываются деньги?,,Оплата > Когда списываются деньги?,"# Оплата
## Когда списываются деньги?

Если заказ оплачен онлайн, деньги списываются сразу после оформления заказа.

---",27
stg5_chunk_00025,payment,faq,payment_methods.md,backend\data\knowledge_base\payment_methods.md,Оплата,Безопасно ли оплачивать на сайте?,,Оплата > Безопасно ли оплачивать на сайте?,"# Оплата
## Безопасно ли оплачивать на сайте?

Да, оплата на сайте безопасна.

- используется защищённое соединение SSL - данные карты не сохраняются на наших серверах - соблюдается стандарт PCI DSS

---",53
stg5_chunk_00026,payment,faq,payment_methods.md,backend\data\knowledge_base\payment_methods.md,Оплата,"Что делать, если оплата не проходит?",,"Оплата > Что делать, если оплата не проходит?","# Оплата
## Что делать, если оплата не проходит?

Если оплата не проходит:

1. проверьте правильность введённых данных карты 2. убедитесь, что на карте достаточно средств 3. проверьте, не отключены ли онлайн-платежи в банке 4. попробуйте другую карту или другой способ оплаты 5. обратитесь в службу поддержки

---",72
stg5_chunk_00027,payment,faq,payment_methods.md,backend\data\knowledge_base\payment_methods.md,Оплата,"Что делать, если деньги списались, но заказ не создался?",,"Оплата > Что делать, если деньги списались, но заказ не создался?","# Оплата
## Что делать, если деньги списались, но заказ не создался?

Если деньги списались, а заказ не создался:

- свяжитесь со службой поддержки - деньги будут возвращены автоматически в течение 3–5 дней - либо заказ будет создан вручную

---",62
stg5_chunk_00028,payment,faq,payment_methods.md,backend\data\knowledge_base\payment_methods.md,Оплата,Как возвращаются деньги?,,Оплата > Как возвращаются деньги?,"# Оплата
## Как возвращаются деньги?

При отмене заказа или возврате товара:

- деньги возвращаются на ту карту или счёт, с которого была произведена оплата - срок возврата — до 10 рабочих дней - если заказ был оплачен наложенным платежом, возврат выполняется переводом на указанные реквизиты

---",73
stg5_chunk_00029,payment,faq,payment_methods.md,backend\data\knowledge_base\payment_methods.md,Оплата,Есть ли рассрочка?,,Оплата > Есть ли рассрочка?,"# Оплата
## Есть ли рассрочка?

Нет, рассрочка в настоящий момент не предоставляется.

---",23
stg5_chunk_00030,payment,faq,payment_methods.md,backend\data\knowledge_base\payment_methods.md,Оплата,Где получить чек и документы?,,Оплата > Где получить чек и документы?,"# Оплата
## Где получить чек и документы?

После оплаты электронный чек отправляется на email.

Для юридических лиц доступны: - счёт - закрывающие документы",32
stg5_chunk_00031,promo_loyalty,faq,promo_codes.md,backend\data\knowledge_base\promo_codes.md,Промокоды и программа лояльности,Как применить промокод?,,Промокоды и программа лояльности > Как применить промокод?,"# Промокоды и программа лояльности
## Как применить промокод?

Чтобы применить промокод:

1. Добавьте товары в корзину 2. Перейдите к оформлению заказа 3. Найдите поле «У меня есть промокод» 4. Введите код (например, SALE2026) 5. Нажмите «Применить» 6. Скидка автоматически отобразится в итоговой сумме

---",83
stg5_chunk_00032,promo_loyalty,faq,promo_codes.md,backend\data\knowledge_base\promo_codes.md,Промокоды и программа лояльности,Где ввести промокод?,,Промокоды и программа лояльности > Где ввести промокод?,"# Промокоды и программа лояльности
## Где ввести промокод?

Поле для ввода промокода находится на странице оформления заказа. Найдите надпись «У меня есть промокод» и введите код перед оплатой.

---",52
stg5_chunk_00033,promo_loyalty,faq,promo_codes.md,backend\data\knowledge_base\promo_codes.md,Промокоды и программа лояльности,Почему промокод не работает?,,Промокоды и программа лояльности > Почему промокод не работает?,"# Промокоды и программа лояльности
## Почему промокод не работает?

Возможные причины:

- Истёк срок действия промокода - Промокод не распространяется на выбранные товары - Не достигнута минимальная сумма заказа - Промокод уже был использован ранее - Промокод нельзя совместить с текущей скидкой или распродажей

---",77
stg5_chunk_00034,promo_loyalty,faq,promo_codes.md,backend\data\knowledge_base\promo_codes.md,Промокоды и программа лояльности,Можно ли использовать два промокода одновременно?,,Промокоды и программа лояльности > Можно ли использовать два промокода одновременно?,"# Промокоды и программа лояльности
## Можно ли использовать два промокода одновременно?

Нет, на один заказ можно применить только один промокод.

---",33
stg5_chunk_00035,promo_loyalty,faq,promo_codes.md,backend\data\knowledge_base\promo_codes.md,Промокоды и программа лояльности,Какие правила у промокодов?,,Промокоды и программа лояльности > Какие правила у промокодов?,"# Промокоды и программа лояльности
## Какие правила у промокодов?

- Один промокод на один заказ - Промокод нужно применить до оплаты - Промокоды не возвращаются при отмене заказа - Промокоды не обмениваются на деньги

---",58
stg5_chunk_00036,promo_loyalty,faq,promo_codes.md,backend\data\knowledge_base\promo_codes.md,Промокоды и программа лояльности,Есть ли сейчас акции или скидки?,,Промокоды и программа лояльности > Есть ли сейчас акции или скидки?,"# Промокоды и программа лояльности
## Есть ли сейчас акции или скидки?

Актуальные промокоды и акции публикуются:

- На главной странице сайта - В email-рассылке - В Telegram-канале магазина - В разделе «Акции» на сайте

---",58
stg5_chunk_00037,promo_loyalty,faq,promo_codes.md,backend\data\knowledge_base\promo_codes.md,Промокоды и программа лояльности,Есть ли программа лояльности?,,Промокоды и программа лояльности > Есть ли программа лояльности?,"# Промокоды и программа лояльности
## Есть ли программа лояльности?

Да, у нас действует программа лояльности с бонусными баллами.",30
stg5_chunk_00038,promo_loyalty,faq,promo_codes.md,backend\data\knowledge_base\promo_codes.md,Промокоды и программа лояльности,Есть ли программа лояльности?,Как начисляются баллы,Промокоды и программа лояльности > Есть ли программа лояльности? > Как начисляются баллы,"# Промокоды и программа лояльности
## Есть ли программа лояльности?
### Как начисляются баллы

- За каждую покупку начисляется 5% от суммы заказа в виде бонусов - 1 бонусный балл = 1 рубль - Баллы начисляются после получения заказа",60
stg5_chunk_00039,promo_loyalty,faq,promo_codes.md,backend\data\knowledge_base\promo_codes.md,Промокоды и программа лояльности,Есть ли программа лояльности?,Как потратить бонусы,Промокоды и программа лояльности > Есть ли программа лояльности? > Как потратить бонусы,"# Промокоды и программа лояльности
## Есть ли программа лояльности?
### Как потратить бонусы

- Бонусами можно оплатить до 30% стоимости следующего заказа - При оформлении выберите «Списать бонусы» и укажите сумму - Минимальная сумма для списания: 100 баллов",65
stg5_chunk_00040,promo_loyalty,faq,promo_codes.md,backend\data\knowledge_base\promo_codes.md,Промокоды и программа лояльности,Есть ли программа лояльности?,Срок действия бонусов,Промокоды и программа лояльности > Есть ли программа лояльности? > Срок действия бонусов,"# Промокоды и программа лояльности
## Есть ли программа лояльности?
### Срок действия бонусов

Бонусы действуют 12 месяцев с момента начисления.

---",35
stg5_chunk_00041,promo_loyalty,faq,promo_codes.md,backend\data\knowledge_base\promo_codes.md,Промокоды и программа лояльности,Как узнать баланс бонусов?,,Промокоды и программа лояльности > Как узнать баланс бонусов?,"# Промокоды и программа лояльности
## Как узнать баланс бонусов?

Проверить баланс бонусов можно:

- В личном кабинете в разделе «Мои бонусы» - В мобильном приложении - Обратившись в службу поддержки

---",53
stg5_chunk_00042,promo_loyalty,faq,promo_codes.md,backend\data\knowledge_base\promo_codes.md,Промокоды и программа лояльности,Есть ли реферальная программа?,,Промокоды и программа лояльности > Есть ли реферальная программа?,"# Промокоды и программа лояльности
## Есть ли реферальная программа?

Да, вы можете пригласить друга и получить бонусы.

- За каждого приведённого друга вы получаете 500 бонусов (после его первого заказа) - Ваш друг получает промокод на 10% скидку на первый заказ - Реферальная ссылка доступна в личном кабинете",77
stg5_chunk_00043,returns_refunds,faq,return_policy.md,backend\data\knowledge_base\return_policy.md,Возврат и обмен товаров,Можно ли вернуть товар?,,Возврат и обмен товаров > Можно ли вернуть товар?,"# Возврат и обмен товаров
## Можно ли вернуть товар?

Да, вы можете вернуть товар надлежащего качества в установленные сроки.

---",30
stg5_chunk_00044,returns_refunds,faq,return_policy.md,backend\data\knowledge_base\return_policy.md,Возврат и обмен товаров,Сколько дней на возврат?,,Возврат и обмен товаров > Сколько дней на возврат?,"# Возврат и обмен товаров
## Сколько дней на возврат?

Сроки возврата зависят от категории товара:

- Электроника и бытовая техника: 14 дней с момента получения - Одежда и обувь: 30 дней с момента получения - Аксессуары и прочие товары: 14 дней с момента получения

Отсчёт начинается со дня, следующего за днём получения.

---",77
stg5_chunk_00045,returns_refunds,faq,return_policy.md,backend\data\knowledge_base\return_policy.md,Возврат и обмен товаров,Какие условия возврата?,,Возврат и обмен товаров > Какие условия возврата?,"# Возврат и обмен товаров
## Какие условия возврата?

Для возврата товар должен:

- сохранять товарный вид и потребительские свойства - быть в заводской упаковке (если она была) - иметь все ярлыки и бирки - не иметь следов использования

---",58
stg5_chunk_00046,returns_refunds,faq,return_policy.md,backend\data\knowledge_base\return_policy.md,Возврат и обмен товаров,Как оформить возврат?,Через личный кабинет,Возврат и обмен товаров > Как оформить возврат? > Через личный кабинет,"# Возврат и обмен товаров
## Как оформить возврат?
### Через личный кабинет

1. Войдите в личный кабинет 2. Перейдите в раздел «Мои заказы» 3. Выберите нужный заказ 4. Нажмите «Оформить возврат» 5. Заполните форму с указанием причины 6. Дождитесь подтверждения от поддержки",70
stg5_chunk_00047,returns_refunds,faq,return_policy.md,backend\data\knowledge_base\return_policy.md,Возврат и обмен товаров,Как оформить возврат?,Через службу поддержки,Возврат и обмен товаров > Как оформить возврат? > Через службу поддержки,"# Возврат и обмен товаров
## Как оформить возврат?
### Через службу поддержки

Напишите в чат или на email support@example-shop.ru с номером заказа.

---",38
stg5_chunk_00048,returns_refunds,faq,return_policy.md,backend\data\knowledge_base\return_policy.md,Возврат и обмен товаров,Когда вернут деньги?,,Возврат и обмен товаров > Когда вернут деньги?,"# Возврат и обмен товаров
## Когда вернут деньги?

Деньги возвращаются в течение 10 рабочих дней с момента получения товара на складе.

---",32
stg5_chunk_00049,returns_refunds,faq,return_policy.md,backend\data\knowledge_base\return_policy.md,Возврат и обмен товаров,Деньги вернут на карту?,,Возврат и обмен товаров > Деньги вернут на карту?,"# Возврат и обмен товаров
## Деньги вернут на карту?

Да, деньги возвращаются на ту карту или счёт, с которого была произведена оплата.

Если заказ был оплачен наложенным платежом, возврат выполняется переводом на указанные вами реквизиты.

---",61
stg5_chunk_00050,returns_refunds,faq,return_policy.md,backend\data\knowledge_base\return_policy.md,Возврат и обмен товаров,Компенсируется ли стоимость доставки при возврате?,,Возврат и обмен товаров > Компенсируется ли стоимость доставки при возврате?,"# Возврат и обмен товаров
## Компенсируется ли стоимость доставки при возврате?

Стоимость доставки при возврате товара надлежащего качества не компенсируется.

Исключение: если товар оказался бракованным — стоимость обратной доставки компенсируется полностью.

---",52
stg5_chunk_00051,returns_refunds,faq,return_policy.md,backend\data\knowledge_base\return_policy.md,Возврат и обмен товаров,"Что делать, если пришёл бракованный товар?",,"Возврат и обмен товаров > Что делать, если пришёл бракованный товар?","# Возврат и обмен товаров
## Что делать, если пришёл бракованный товар?

Если товар пришёл с дефектом или браком:

- обратитесь в поддержку в течение гарантийного срока - предоставьте фото или видео дефекта - стоимость обратной доставки будет компенсирована - вам предложат замену товара или возврат денег

---",69
stg5_chunk_00052,returns_refunds,faq,return_policy.md,backend\data\knowledge_base\return_policy.md,Возврат и обмен товаров,Можно ли обменять товар?,,Возврат и обмен товаров > Можно ли обменять товар?,"# Возврат и обмен товаров
## Можно ли обменять товар?

Да, товар можно обменять, если он не подошёл по размеру, цвету или модели.

Сроки обмена: - стандартные товары: 14 дней - одежда и обувь: 30 дней

Условия обмена совпадают с условиями возврата: товар должен сохранять товарный вид и упаковку.

---",81
stg5_chunk_00053,returns_refunds,faq,return_policy.md,backend\data\knowledge_base\return_policy.md,Возврат и обмен товаров,Какие товары нельзя вернуть?,,Возврат и обмен товаров > Какие товары нельзя вернуть?,"# Возврат и обмен товаров
## Какие товары нельзя вернуть?

Не подлежат возврату:

- нижнее бельё - парфюмерия и косметика после вскрытия упаковки - товары индивидуального изготовления (кастомные) - цифровые товары (ключи активации, подписки)",64
stg5_chunk_00054,returns_refunds,faq,warranty.md,backend\data\knowledge_base\warranty.md,Гарантия на товары,Какая гарантия на товар?,,Гарантия на товары > Какая гарантия на товар?,"# Гарантия на товары
## Какая гарантия на товар?

Гарантийный срок зависит от категории товара:

- Электроника и бытовая техника: 12 месяцев от производителя - Одежда и обувь: 30 дней - Аксессуары и мелкая электроника: 14 дней - Мебель: 18 месяцев

---",67
stg5_chunk_00055,returns_refunds,faq,warranty.md,backend\data\knowledge_base\warranty.md,Гарантия на товары,Можно ли продлить гарантию?,,Гарантия на товары > Можно ли продлить гарантию?,"# Гарантия на товары
## Можно ли продлить гарантию?

Да, при покупке техники можно приобрести расширенную гарантию.

- Продлевает стандартную гарантию до 24 или 36 месяцев - Покрывает больше случаев, включая случайные повреждения - Стоимость: 5–15% от цены товара

---",63
stg5_chunk_00056,returns_refunds,faq,warranty.md,backend\data\knowledge_base\warranty.md,Гарантия на товары,Что покрывает гарантия?,,Гарантия на товары > Что покрывает гарантия?,"# Гарантия на товары
## Что покрывает гарантия?

Гарантия распространяется на:

- производственный брак - дефекты материалов - неисправности при правильной эксплуатации

---",37
stg5_chunk_00057,returns_refunds,faq,warranty.md,backend\data\knowledge_base\warranty.md,Гарантия на товары,Что не является гарантийным случаем?,,Гарантия на товары > Что не является гарантийным случаем?,"# Гарантия на товары
## Что не является гарантийным случаем?

Гарантия не распространяется на:

- механические повреждения (удары, падения, царапины) - повреждения от воздействия жидкости - следы самостоятельного ремонта или вскрытия - повреждения от неправильной эксплуатации - естественный износ

---",69
stg5_chunk_00058,returns_refunds,faq,warranty.md,backend\data\knowledge_base\warranty.md,Гарантия на товары,"Что делать, если товар сломался?",,"Гарантия на товары > Что делать, если товар сломался?","# Гарантия на товары
## Что делать, если товар сломался?

Если товар вышел из строя в течение гарантийного срока:

1. Обратитесь в поддержку (чат, email, телефон) 2. Предоставьте номер заказа, описание проблемы, фото или видео дефекта 3. Мы рассмотрим обращение и предложим: - замену на новый товар - ремонт в сервисном центре - возврат денежных средств

---",80
stg5_chunk_00059,returns_refunds,faq,warranty.md,backend\data\knowledge_base\warranty.md,Гарантия на товары,Куда обращаться по гарантии?,,Гарантия на товары > Куда обращаться по гарантии?,"# Гарантия на товары
## Куда обращаться по гарантии?

- Чат на сайте - Email: support@example-shop.ru - Телефон: 8-800-123-45-67

---",40
stg5_chunk_00060,returns_refunds,faq,warranty.md,backend\data\knowledge_base\warranty.md,Гарантия на товары,Сколько длится гарантийный ремонт?,,Гарантия на товары > Сколько длится гарантийный ремонт?,"# Гарантия на товары
## Сколько длится гарантийный ремонт?

- Рассмотрение обращения: 1–2 рабочих дня - Диагностика товара: до 10 рабочих дней - Ремонт: до 45 дней - Замена товара: 3–7 рабочих дней

---",54
stg5_chunk_00061,returns_refunds,faq,warranty.md,backend\data\knowledge_base\warranty.md,Гарантия на товары,Нужно ли отправлять товар на ремонт самому?,,Гарантия на товары > Нужно ли отправлять товар на ремонт самому?,"# Гарантия на товары
## Нужно ли отправлять товар на ремонт самому?

Нет, мы организуем бесплатный забор товара курьером. Также можно лично передать товар в сервисный центр — адрес предоставит служба поддержки.

---",48
stg5_chunk_00062,returns_refunds,faq,warranty.md,backend\data\knowledge_base\warranty.md,Гарантия на товары,Можно ли обменять товар по гарантии?,,Гарантия на товары > Можно ли обменять товар по гарантии?,"# Гарантия на товары
## Можно ли обменять товар по гарантии?

Да, если товар признан бракованным после диагностики, вам могут предложить замену на аналогичный товар.

---",40
stg5_chunk_00063,returns_refunds,faq,warranty.md,backend\data\knowledge_base\warranty.md,Гарантия на товары,Обмен товара (не гарантийный случай),,Гарантия на товары > Обмен товара (не гарантийный случай),"# Гарантия на товары
## Обмен товара (не гарантийный случай)

Если товар не подошёл по размеру, цвету или модели, его можно обменять:

- Стандартные товары: в течение 14 дней - Одежда и обувь: в течение 30 дней

Условия: товар должен сохранять товарный вид, упаковку и бирки.",75
stg5_chunk_00064,order_support,rag_raw,order_status_support.md,ml\data\kb_stage5\raw\order_status_support.md,Статус заказа и отслеживание,Краткий ответ,,Статус заказа и отслеживание > Краткий ответ,"# Статус заказа и отслеживание
## Краткий ответ

Статус заказа можно проверить в личном кабинете в разделе «Мои заказы» или в мобильном приложении. После отправки заказа вы получите трек-номер для отслеживания на сайте транспортной компании. Если статус не обновляется более 3 рабочих дней, рекомендуем обратиться в службу поддержки.

---",81
stg5_chunk_00065,order_support,rag_raw,order_status_support.md,ml\data\kb_stage5\raw\order_status_support.md,Статус заказа и отслеживание,Где посмотреть статус заказа?,,Статус заказа и отслеживание > Где посмотреть статус заказа?,"# Статус заказа и отслеживание
## Где посмотреть статус заказа?

Проверить текущий статус заказа можно несколькими способами:",27
stg5_chunk_00066,order_support,rag_raw,order_status_support.md,ml\data\kb_stage5\raw\order_status_support.md,Статус заказа и отслеживание,Где посмотреть статус заказа?,На сайте,Статус заказа и отслеживание > Где посмотреть статус заказа? > На сайте,"# Статус заказа и отслеживание
## Где посмотреть статус заказа?
### На сайте

1. Войдите в личный кабинет 2. Перейдите в раздел «Мои заказы» 3. Найдите нужный заказ по номеру или дате 4. Текущий статус отображается рядом с номером заказа",63
stg5_chunk_00067,order_support,rag_raw,order_status_support.md,ml\data\kb_stage5\raw\order_status_support.md,Статус заказа и отслеживание,Где посмотреть статус заказа?,В мобильном приложении,Статус заказа и отслеживание > Где посмотреть статус заказа? > В мобильном приложении,"# Статус заказа и отслеживание
## Где посмотреть статус заказа?
### В мобильном приложении

1. Откройте приложение 2. Перейдите в раздел «Заказы» 3. Нажмите на нужный заказ для просмотра деталей",49
