text,category
"Я хотел бы поговорить с чертовым оператором, могу ли я получить помощь?",other
Вы дадите мне информацию о продажах?,promo_loyalty
Во сколько закрываются ваши магазины,general_info
купон на скидку,promo_loyalty
Пада проверяет фондовые цены на эту продукцию.,product_info
"Я не понимаю, как общаться с кем-то",other
Как удалить долбаные товары из корзины?,product_info
Мне нужно поговорить с кем-нибудь,other
Где я могу найти информацию о распродажах?,promo_loyalty
"Мне нужна информация о чертовых весенних распродажах, как я могу ее найти?",promo_loyalty
"Мне нужна информация о продажах, как я могу ее найти?",promo_loyalty
"Я бы хотел изменить свой профиль, где это сделать.",account
"Я хотел бы узнать о времени доставки, можете ли вы найти какую-нибудь информацию?",delivery
логин и пароль,account
Сколько сообщений джон смит прислал мне за последние 12 месяцев?,general_info
"Я бы хотел отправить заказ обратно, как мне это сделать?",return_exchange
"Я купил товар, но выбрал неправильный цвет, мне нужно обновить свой онлайн-заказ",order_status
Каков обменный курс на английский фунт и наши доллары?,payment_refund
"Приложение не работает на моем устройстве, мне нужно сообщить о проблеме",technical_issue
"Я хотел бы узнать больше о весенних распродажах, вы найдете какую-нибудь информацию?",promo_loyalty
"Я хотел бы отследить свой возврат, надеюсь, смогу ли я это сделать?",payment_refund
"Можете ли вы помочь мне проверить, в каких случаях я могу запросить возврат средств?",payment_refund
"Нужно использовать ваше мобильное приложение, где я могу это сделать",technical_issue
Мобильное приложение не работает на моем планшете. не могли бы вы помочь мне сообщить о проблеме?,technical_issue
"Я бы хотел воспользоваться твоим чертовым мобильным приложением, можно мне помочь?",technical_issue
Я получил новые письма сегодня?,general_info
"Я не могу заставить сайт работать, как мне сообщить об ошибке",technical_issue
Можно ли создать учетную запись пользователя,account
Мне нужна помощь в изменении товара eyxrg41m,order_status
"Я бы хотел использовать твое мобильное приложение, как мне это сделать?",technical_issue
"Я хочу закрыть свой профиль, как мне это сделать?",account
"Мне нужно изменить товар при покупке. febswkop, помогите мне.",order_status
"Мне нужно вернуть товар онлайн, как это сделать",return_exchange
Мне нужна помощь в просмотре платы за отмену,order_status
"Мне нужно изменить свой онлайн-заказ, прежде чем отправлять его, где мне это сделать",order_status
"Я не могу заставить сайт работать на своем планшете, могу ли я сообщить о проблеме",technical_issue
Я ожидаю скидку 10 долларов,payment_refund
Долл. сша/евро,payment_refund
"Я хочу обменять товар, купленный онлайн, в магазине, как мне это сделать?",return_exchange
"Как я могу увидеть, какие варианты доставки доступны?",delivery
"Мне нужно найти магазин поблизости, как мне это сделать?",general_info
"Мне нужно посмотреть чертову историю заказов, что мне делать?",account
"Мне нужно выехать, помогите мне",payment_refund
"Я ищу информацию о офигенном товаре в магазине, где я могу его найти?",return_exchange
"Мне нужно обменять товар, который я купил в магазине онлайн",return_exchange
Можно ли будет купить через ваше приложение?,technical_issue
"Я не знаю, как купить несколько статей",order_status
"Мне нужна помощь, чтобы найти магазины рядом со мной",general_info
"Я бы солгал, чтобы узнать больше о чертовых продажах, дай мне какую-нибудь информацию?",promo_loyalty
"Хочу узнать больше о твоем чертовом процессе возврата, могу найти некоторую информацию",return_exchange
"Я ищу информацию о чертовых распродажах, может мне поможет",promo_loyalty
"Я сделал заказ, но мне не пришел счет, помогите мне его получить",payment_refund
доставка почтой,delivery
"Мне нравится информация о часах работы вашего магазина, где я могу ее получить",general_info
Любые важные уведомления.,general_info
"Заказанная мной посылка была раздавлена, как я могу об этом сообщить?",return_exchange
"Каков обменный курс между 500 долларов, что я фрак?",payment_refund
"Нужно проверить наличие товара, помогите мне",product_info
"Я не знаю, как отменить подписку на рассылку новостей",account
"Мне нужно найти что-то, что я купил. как просмотреть историю заказов?",account
"Я хотел бы удалить офигенные товары из корзины, где это сделать?",product_info
"Мне не нужна моя учетная запись, мне нужна помощь в ее удалении",account
Можно ли сделать заказ из индии?,delivery
Как мне поговорить с кем-то?,other
"Мой аккаунт украли, помогите мне восстановить пароль",account
Что это за родной город в театре болшой?,general_info
"Мой аккаунт взломали, не могли бы вы помочь мне сбросить мой пароль?",account
"Как мне узнать, в какое время доступна служба поддержки клиентов?",general_info
Не могли бы вы помочь мне получить возврат денег?,return_exchange
"Сайт не работает на моем устройстве, помогите мне сообщить об этой чертовой проблеме",technical_issue
Время проверки поезда калки с станции джодпур в понедельник,delivery
Есть ли адрес для отправки отзывов о вашей продукции?,product_info
"У меня есть предложение по улучшению вашего продукта, можете ли вы его прислать?",other
"Что мне нужно сделать, чтобы загрузить счет № 85632?",payment_refund
Могу ли я связаться со службой поддержки клиентов,general_info
"Хочу узнать о твоем чертовом процессе возврата денег, дай мне немного информации",payment_refund
"Я не получил все, что купил, помогите мне сообщить о пропаже товара",delivery
"Можешь показать мне, как отправиться в музей полета в сиэтле.",delivery
"Мне нравится информация о продукте, где я могу ее найти",product_info
"Мне нужно подтвердить наличие товара онлайн, можете ли вы мне помочь?",product_info
"Я ищу информацию о чертовом статусе моего отказа, мне нужна помощь.",payment_refund
"Мне нужно обменять чертову вещь, которую я купил в магазине, мне нужна помощь",return_exchange
Где я могу увидеть предварительную плату за выход,order_status
"Я хотел бы увидеть статус моего возврата, как это сделать?",payment_refund
Сколько времени на поезд...,delivery
"Мне нужно увидеть текущий статус заказа m9553wys, помогите мне.",order_status
"Мне нужно заплатить картой, где это сделать",payment_refund
"Нужно отправить идеи для продукта, где мне это сделать",other
"Я бы хотел использовать ваше мобильное приложение, где мне это сделать?",technical_issue
"Хочу оставить комментарии о продуктах, где это сделать",other
"Мне не нужна моя учетная запись, я бы хотел ее удалить",account
"Я хотел бы сообщить о чертовски неправильных продуктах, как мне это сделать?",return_exchange
"Я хотел бы узнать больше о твоих чертовых часах работы, можешь ли ты найти какую-нибудь информацию?",general_info
"У меня есть комментарий о продукте, как я могу его отправить",other
"Хочу подтвердить наличие чертовых товаров в интернете, мне поможет",product_info
есть промокоды?,promo_loyalty
Можете ли вы помочь мне составить список разрешенных способов оплаты?,payment_refund
"Я требую возврата денег, мне нужна помощь.",return_exchange
Приложение не работает на моем мобильном телефоне. не могли бы вы помочь мне сообщить об ошибке?,technical_issue
"Мне не нужен мой профиль, можно ли его отменить",account
"Мне нужна помощь, чтобы узнать, где мой груз.",order_status
Мне нужно отправить ответ шарлотте.,general_info
"Я хочу чертову учетную запись пользователя, могу ее создать",account
как оформить доставку,delivery
Могу ли я купить через ваш сайт?,technical_issue
"Мне нужно позвонить в службу поддержки клиентов, как я могу это сделать?",general_info
"Мне нужно просмотреть мою чертову историю заказов, можешь мне помочь?",account
Сколько стоит доллар сша против рупии?,payment_refund
"Мне нужно обменять в магазине чертову вещь, купленную в интернете, как я могу это сделать?",return_exchange
"Я хотел бы узнать больше о распродажах, не могли бы вы найти какую-нибудь информацию?",promo_loyalty
"Я хочу вернуть товар онлайн, где я могу это сделать?",return_exchange
"У меня ошибка в моей чертовой учетной записи, можно ли ее отредактировать",account
У меня возникла проблема с переводом с помощью кредитной карты. не могли бы вы помочь мне сообщить об этом?,payment_refund
Сколько времени на поезд?,delivery
Как скоро я могу ожидать свою покупку,delivery
Приложение не работает на моем планшете. не могли бы вы помочь мне сообщить об ошибке?,technical_issue
Как я могу найти информацию о восстановлении ключа,account
"Я сделал заказ и не получил счет, могу ли я его скачать",payment_refund
"Хочу узнать больше о чертовых распродажах, не могли бы вы дать мне некоторую информацию?",promo_loyalty
Дай мне направление от фарипира до гурпура.,delivery
"Мне нужна помощь, чтобы оставить отзыв о ваших услугах",product_info
"Мне нужно запросить право на забвение, где мне это сделать?",account
Когда айфон обычно падает,product_info
"Мне нужно посмотреть часы работы твоего чертового магазина, где это посмотреть",general_info
Как я могу найти информацию о распродажах?,promo_loyalty
Покажите мне дорогу ближайшей железнодорожной станции.,delivery
Как мне вернуть товар онлайн,return_exchange
Помощь в написании комментария к вашей продукции,product_info
"У меня есть комментарий о твоем бренде, я бы хотел его отправить.",other
"Мне нужно использовать ваше мобильное приложение, как это сделать?",technical_issue
"Приложение не работает на моем мобильном телефоне, можете ли вы помочь мне сообщить об ошибке?",technical_issue
Помощь в заказе статьи,order_status
Помощь в получении моего pin-кода пользователя,account
"Нужно проверить, где находится мой онлайн-заказ, как я могу это сделать",order_status
Информация о продажах,promo_loyalty
"Хочу использовать твое приложение, может мне помочь",technical_issue
"Я ищу информацию о следующих распродажах, может мне помочь.",promo_loyalty
"Мне нравится информация о весенних распродажах, как ее найти?",promo_loyalty
"Мне нужно связаться со службой поддержки, могу ли я получить помощь?",general_info
"Мой аккаунт взломали, мне нужна помощь в восстановлении пароля",account
"Я купил товар, но выбрал неправильный цвет, как изменить мой онлайн-заказ?",order_status
"Я не могу совершать переводы, сообщаю о проблемах с оплатой",payment_refund
Где заказать статью?,order_status
Я не могу заставить приложение работать на моем компьютере сообщить о чертовой проблеме,technical_issue
"Я купил товар, но он мне не нужен, как мне отменить этот заказ",order_status
"Я хотел бы найти магазины рядом со мной, могу ли я получить помощь?",general_info
"Я пропустил товар в покупке gbuvsr83, можете ли вы его добавить?",order_status
Маки жалоба,other
"Мне нужна информация о продажах, где я могу ее получить?",promo_loyalty
"Я вас не понимаю, мне нужна помощь, чтобы поговорить с агентом-человеком.",other
"Помогите узнать, в каких случаях я могу потребовать вернуть свои деньги",payment_refund
"Я бы хотел воспользоваться твоим чертовым приложением, мне нужна помощь",technical_issue
Как написать комментарий к вашей продукции?,product_info
Где я могу отследить свою чертову посылку?,order_status
"Нужно посмотреть, в какие часы я могу связаться со службой поддержки",general_info
"Я заказал товар, но не получил счет. можете ли вы мне помочь его получить?",payment_refund
Можете ли вы помочь мне обменять товар в магазине?,return_exchange
Не могли бы вы дать мне прежний график на будущее.,product_info
Я хочу получить информацию о стоимости пересылки,delivery
Как долго мы доберемся до центра.,delivery
"Если я хочу обменять то, что купил, это поможет мне",return_exchange
"Хочу поговорить со службой поддержки, мне нужна помощь",general_info
"Помогите мне понять, при каких обстоятельствах я могу запросить возврат средств",payment_refund
Мне нужна помощь в информировании об ошибках с платежами,payment_refund
"Что мне нужно сделать, чтобы удалить премиум-аккаунт",account
Я пытаюсь увидеть статус заказа iupcku97.,order_status
Я хочу обновить свой адрес,delivery
"Приложение не работает на моем мобильном телефоне, мне нужна помощь, чтобы сообщить об ошибке",technical_issue
отмените мой заказ,order_status
Мне нужна помощь с добавлением продукта для покупки upt0biq1.,order_status
"Я хотел бы узнать о часах работы вашего чертового магазина, как мне получить дополнительную информацию?",general_info
Как я могу увидеть историю заказов?,account
"Я хочу вернуть деньги, помогите мне запросить это",return_exchange
